dataset,model,test_auroc,test_accuracy,coef,intercept,negative_gc_mean,positive_gc_mean
human_nontata_promoters,gc_fraction_only_logistic_regression,0.7959149681512145,0.7252601284038078,9.246603647267483,-4.947796334798515,0.48444532140919205,0.6270535356032635
human_enhancers_cohn,gc_fraction_only_logistic_regression,0.7339186999468708,0.6691134139320668,10.857152379029728,-4.633378860572982,0.3942677029360967,0.4689055843408175
