task,split_name,split_fold,model,mode,auroc,auprc,accuracy,mcc,ece,brier,seeds,rc_instability,rc_flip_rate,mono_drop,mono_calibration_shift,dinuc_drop,gc_only_auroc,gc_only_explainability_ratio,mono_retention,dinuc_retention,shortcut_score
human_nontata_promoters,official,na,kmer_logistic_regression,frozen,0.9107741535701488,0.9426441860539,0.8554350232455169,0.714331744500841,0.0984141136366839,0.1226277603775332,1,0.2694923847387004,0.2739650210316582,-0.0067870410923254,0.2454380543528356,0.0430705343389138,0.7959149681512145,0.8738884003584235,0.0067870410923254,-0.0430705343389138,0.8333333333333334
human_nontata_promoters,official,na,gc_only,frozen,0.7959149681512145,0.8393630217887045,0.7272526012840381,0.4529293040414943,0.0465141251525639,0.1847922384316522,1,0.0,0.0,0.0,0.0,0.0,0.7959149681512145,1.0,-0.0,-0.0,0.6666666666666666
