task_id,task_label,model_id,model_label,seed,gc_bin,count,positive_count,negative_count,gc_mean,gc_min,gc_max,auroc,ece,brier
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,0,1843,469,1374,0.3614927160592572,0.2071713147410358,0.4302788844621514,0.7669729952855808,0.1423681146175582,0.1690484894994444
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,1,1801,557,1244,0.4793131748408918,0.4342629482071713,0.5219123505976095,0.8195416996195743,0.1348139855668514,0.1639961320581173
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,2,1811,941,870,0.5676311870134043,0.5258964143426295,0.6095617529880478,0.8779789170239535,0.1301104140620254,0.1570071591296542
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,3,1792,1282,510,0.6528284184689813,0.6135458167330677,0.6932270916334662,0.9397479428588909,0.0722662164526056,0.0905208640983239
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,4,1787,1666,121,0.7554984315675184,0.6972111553784861,0.8924302788844621,0.9854553391604576,0.0172994090561328,0.0225414631299418
human_nontata_promoters,Promoters,small_cnn,CNN,2026,0,1843,469,1374,0.3614927160592572,0.2071713147410358,0.4302788844621514,0.6644118769843856,0.120056269741938,0.1904368993180838
human_nontata_promoters,Promoters,small_cnn,CNN,2026,1,1801,557,1244,0.4793131748408918,0.4342629482071713,0.5219123505976095,0.7850695907681827,0.1197001287576094,0.1813644935507636
human_nontata_promoters,Promoters,small_cnn,CNN,2026,2,1811,941,870,0.5676311870134043,0.5258964143426295,0.6095617529880478,0.8776026970574224,0.1387076800383631,0.1664270644660983
human_nontata_promoters,Promoters,small_cnn,CNN,2026,3,1792,1282,510,0.6528284184689813,0.6135458167330677,0.6932270916334662,0.9329601419350892,0.064313887834682,0.1006333673269909
human_nontata_promoters,Promoters,small_cnn,CNN,2026,4,1787,1666,121,0.7554984315675184,0.6972111553784861,0.8924302788844621,0.9712033573760084,0.0091717757563985,0.0272777248234822
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,0,1843,469,1374,0.3614927160592572,0.2071713147410358,0.4302788844621514,0.6518964752035208,0.0551275125322171,0.1786974513799908
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,1,1801,557,1244,0.4793131748408918,0.4342629482071713,0.5219123505976095,0.790204471589302,0.0696661970611746,0.1639493473339667
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,2,1811,941,870,0.5676311870134043,0.5258964143426295,0.6095617529880478,0.8774787154775429,0.1062388044860664,0.1528156169965876
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,3,1792,1282,510,0.6528284184689813,0.6135458167330677,0.6932270916334662,0.934322902327858,0.064236476971668,0.0975968341824579
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,4,1787,1666,121,0.7554984315675184,0.6972111553784861,0.8924302788844621,0.9866310160427808,0.0261845286408148,0.0223771547192987
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,0,1843,469,1374,0.3614927160592572,0.2071713147410358,0.4302788844621514,0.7178393745557925,0.0362423310090157,0.1667675983458799
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,1,1801,557,1244,0.4793131748408918,0.4342629482071713,0.5219123505976095,0.817036316509551,0.0311427649042215,0.148951735670873
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,2,1811,941,870,0.5676311870134043,0.5258964143426295,0.6095617529880478,0.8905114392856707,0.0379170548352756,0.1331070991577666
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,3,1792,1282,510,0.6528284184689813,0.6135458167330677,0.6932270916334662,0.9351212872044292,0.0330574846981592,0.0918332285587811
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,4,1787,1666,121,0.7554984315675184,0.6972111553784861,0.8924302788844621,0.9800333356483087,0.0279027290952021,0.0238753392489935
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,0,1843,469,1374,0.3614927160592572,0.2071713147410358,0.4302788844621514,0.6643684261164545,0.0662874679993248,0.1851581639589166
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,1,1801,557,1244,0.4793131748408918,0.4342629482071713,0.5219123505976095,0.7399943426833,0.0736506206656464,0.1862067183618594
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,2,1811,941,870,0.5676311870134043,0.5258964143426295,0.6095617529880478,0.8190381960985501,0.1035116779310051,0.1864376726251959
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,3,1792,1282,510,0.6528284184689813,0.6135458167330677,0.6932270916334662,0.8288535070814598,0.0945589745899072,0.15593398784935
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,4,1787,1666,121,0.7554984315675184,0.6972111553784861,0.8924302788844621,0.8725754764715805,0.0382853455624175,0.0535200875154329
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,0,1427,328,1099,0.3189796776454099,0.15,0.354,0.663546683237533,0.2057056959406342,0.2314417367514838
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,1,1372,523,849,0.3777390670553936,0.356,0.398,0.6624889927864747,0.2396608443450371,0.2873673986740139
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,2,1397,673,724,0.4214974946313529,0.4,0.444,0.6310163939809379,0.2750858169022459,0.3221364261948579
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,3,1381,841,540,0.4715235336712527,0.446,0.502,0.6335337120711675,0.2660127288731479,0.3081260392780326
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,4,1371,1109,262,0.5727323121808898,0.504,0.82,0.6778130356073486,0.1898915284176187,0.2047969258122135
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,0,1427,328,1099,0.3189796776454099,0.15,0.354,0.600002219312457,0.0457288346552898,0.1754364933491367
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,1,1372,523,849,0.3777390670553936,0.356,0.398,0.5922567771779644,0.1161819450426901,0.2429097716042884
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,2,1397,673,724,0.4214974946313529,0.4,0.444,0.6179430766831127,0.1166399967781372,0.2529285885676655
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,3,1381,841,540,0.4715235336712527,0.446,0.502,0.6125379838816224,0.1319496015290434,0.2469302140909224
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,4,1371,1109,262,0.5727323121808898,0.504,0.82,0.6601573524046833,0.0866059223115226,0.1580382882576708
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,0,1427,328,1099,0.3189796776454099,0.15,0.354,0.6790610643822543,0.0586140132610331,0.1677687231375222
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,1,1372,523,849,0.3777390670553936,0.356,0.398,0.689858950018805,0.0870193838204308,0.2216580363260189
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,2,1397,673,724,0.4214974946313529,0.4,0.444,0.6670224031917775,0.0714644160796338,0.233043898041268
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,3,1381,841,540,0.4715235336712527,0.446,0.502,0.6704936803628836,0.0421789812165528,0.2215120760668341
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,4,1371,1109,262,0.5727323121808898,0.504,0.82,0.6744505399954571,0.0336138609549496,0.1463454962115175
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,0,1427,328,1099,0.3189796776454099,0.15,0.354,0.791076699438514,0.0254138463900504,0.1416283291450926
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,1,1372,523,849,0.3777390670553936,0.356,0.398,0.8069171469302541,0.0348275542339927,0.1739731054986905
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,2,1397,673,724,0.4214974946313529,0.4,0.444,0.7551226059615969,0.0178500801126913,0.1998647973070638
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,3,1381,841,540,0.4715235336712527,0.446,0.502,0.7518980930990444,0.0386097790380021,0.1927112851297075
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,4,1371,1109,262,0.5727323121808898,0.504,0.82,0.7713330901231426,0.0272068913261735,0.1260549657233116
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,0,1427,328,1099,0.3189796776454099,0.15,0.354,0.7376273330522204,0.0735804095328093,0.161539112225126
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,1,1372,523,849,0.3777390670553936,0.356,0.398,0.6811049778504461,0.0595377928219057,0.2159618211388142
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,2,1397,673,724,0.4214974946313529,0.4,0.444,0.6555683711919089,0.0448189564300151,0.2293413122345711
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,3,1381,841,540,0.4715235336712527,0.446,0.502,0.6607654027392434,0.0279722521036417,0.2203995151738622
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,4,1371,1109,262,0.5727323121808898,0.504,0.82,0.677995443250573,0.0294608435904009,0.1445802547174421
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,0,6197,1696,4501,0.2947336248925645,0.0,0.3520710059171598,0.7843626468751179,0.1478563055874819,0.1835045604536663
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,1,6193,2543,3650,0.3798761431671731,0.352112676056338,0.4050632911392405,0.7599306180274619,0.1860368159257768,0.2338087762233761
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,2,6192,3355,2837,0.4297330124788917,0.4050925925925926,0.4551282051282051,0.7462086847896149,0.1931929243692583,0.2474348253926253
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,3,6197,3703,2494,0.4837437782391392,0.4551724137931034,0.5167785234899329,0.7596101559216059,0.1920621818826641,0.2366883390600723
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,4,6191,4188,2003,0.5837308897024086,0.5167958656330749,1.0,0.731078644688173,0.1931459019176654,0.2306409299026601
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,0,6197,1696,4501,0.2947336248925645,0.0,0.3520710059171598,0.906283339027386,0.0368163354054023,0.0998116465774903
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,1,6193,2543,3650,0.3798761431671731,0.352112676056338,0.4050632911392405,0.8516852601015951,0.0334121216838644,0.1540774761398203
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,2,6192,3355,2837,0.4297330124788917,0.4050925925925926,0.4551282051282051,0.853211789914726,0.048441517188452,0.1586330555782084
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,3,6197,3703,2494,0.4837437782391392,0.4551724137931034,0.5167785234899329,0.8592717038851656,0.0483850009218808,0.1507208776782227
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,4,6191,4188,2003,0.5837308897024086,0.5167958656330749,1.0,0.8347663557195247,0.0223464528172413,0.1489088726435897
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,2026,0,6197,1696,4501,0.2947336248925645,0.0,0.3520710059171598,0.9086102590409678,0.0175824243288588,0.0965517843059953
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,2026,1,6193,2543,3650,0.3798761431671731,0.352112676056338,0.4050632911392405,0.8653797962712577,0.0312083512755168,0.146176034116937
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,2026,2,6192,3355,2837,0.4297330124788917,0.4050925925925926,0.4551282051282051,0.8673940850807432,0.0337883600789466,0.1487335802349991
