task_id,task_readable_name,tier,track,species,split_id,split_fold,model_id,model_readable_name,model_family,mode,calibration_method,intervention_id,seeds,auroc,auprc,accuracy,balanced_accuracy,mcc,f1,ece,brier,train_count,val_count,test_count,positive_count,negative_count,mean_abs_delta,flip_rate,positive_prob_drop,calibration_shift,sequence_length_summary,rc_mean_abs_delta,rc_flip_rate,rc_positive_prob_drop,rc_calibration_shift,mono_mean_abs_delta,mono_flip_rate,mono_positive_prob_drop,mono_calibration_shift,dinuc_mean_abs_delta,dinuc_flip_rate,dinuc_positive_prob_drop,dinuc_calibration_shift,motif_mean_abs_delta,motif_flip_rate,motif_positive_prob_drop,motif_calibration_shift,gc_only_auroc,gc_only_explainability_ratio,mono_retention,dinuc_retention,shortcut_score,task_label,model_label
human_nontata_promoters,Promoters,Core,short_context,human,official,none,gc_only,GC-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,2,0.7959149681512145,0.8393630217887045,0.726256364843923,0.7271434241291073,0.4529293040414943,0.743973399833749,0.0468308784576099,0.184770311891784,8000.0,2000.0,5517.0,2957.5,2559.5,,,,,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7959149681512145,1.0,-0.0,-0.0,0.4035087719298245,Promoters,GC-only logistic regression
human_nontata_promoters,Promoters,Core,short_context,human,official,none,cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.843540800552831,0.8788996222669625,0.7749612574717732,0.7789114880128981,0.5561099593953475,0.7801924532381879,0.0476340665381582,0.1565553534316248,10000.0,2000.0,9034.0,4915.0,4119.0,,,,,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7959149681512145,0.9435405704496996,-0.0,-0.0,0.3859649122807018,Promoters,CpG-only logistic regression
human_nontata_promoters,Promoters,Core,short_context,human,official,none,repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,1,0.6122241000628059,0.6451800974061691,0.5802523798981625,0.5831214650021475,0.1658077057952046,0.5880052151238592,0.0429241668362805,0.2402921792051356,10000.0,2000.0,9034.0,4915.0,4119.0,,,,,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7959149681512145,1.3000386101585424,-0.0,-0.0,0.4210526315789473,Promoters,Repeat-only logistic regression
human_nontata_promoters,Promoters,Core,short_context,human,official,none,kmer_logistic_regression,6-mer logistic regression,classical,frozen,none,standard,2,0.8984909999999999,0.9434076450604664,0.8375,0.8590367887987509,0.7152964864938827,0.8630310716550412,0.1102176388215763,0.133432542662848,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,251,0.2634432589752333,0.268,0.0168218440450704,0.1048867659226201,0.3907444044811676,0.405,-0.0026594560109637,0.2183623565619146,0.316267987338407,0.3215,0.0575635769009338,0.1262496242343664,0.013001464725365,0.0121762231569625,0.0082361993033196,0.0026135597416585,0.7959149681512145,0.8858352149895933,0.0026594560109637,-0.0575635769009338,0.6052631578947368,Promoters,6-mer logistic regression
human_nontata_promoters,Promoters,Core,short_context,human,official,none,small_cnn,CNN,cnn,full,none,standard,6,0.842903,0.9239397103402608,0.7945,0.8239956907633705,0.6472216905599998,0.8195604395604396,0.0228868810981512,0.1519707324290783,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,251,0.0435033664107322,0.0625,0.0076655149459838,-0.008566006243229,0.109779454767704,0.1575,-0.0022913217544555,0.0415386336222291,0.0573856495320797,0.071,0.0464639663696289,0.0004174573868513,0.0043716924265027,0.0039849457604604,0.003511905670166,0.0002461549076908,0.7959149681512145,0.9442545205690508,0.0022913217544555,-0.0464639663696289,0.4122807017543859,Promoters,CNN
human_nontata_promoters,Promoters,Core,short_context,human,official,none,small_cnn_rc_aug,RC-aug CNN,cnn,full,none,standard,6,0.8636599999999999,0.9345881615397388,0.8015,0.8410197439995337,0.6877431242415014,0.8256586483390607,0.0440954817906022,0.1440133262069258,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,251,0.0165502354502677,0.0195,-0.0008527636528015,-0.0006018233448267,0.1702148020267486,0.274,-0.0348603129386901,0.1297359126955269,0.0657117143273353,0.074,0.0378893613815307,-0.0132784271091223,0.0055290842428803,0.004870489262785,0.0048051476478576,0.0029541018072788,0.7959149681512145,0.9215605309395072,0.0348603129386901,-0.0378893613815307,0.4385964912280701,Promoters,RC-aug CNN
human_nontata_promoters,Promoters,Core,short_context,human,official,none,dnabert2,DNABERT-2,foundation_model,frozen,none,standard,2,0.887888,0.9332961175799712,0.828,0.8545,0.713408575128601,0.8459502382212811,0.0420015626662993,0.1279405383264637,2000.0,800.0,1000.0,500.0,500.0,,,,,251,0.0777349317929724,0.073,0.0131583581019262,-0.0189866093985185,0.2518976687499663,0.41,-0.0538831078698363,0.1646617959442884,0.1001148418764695,0.099,0.0038541693706631,0.0262113113554254,0.0048636905075706,0.003,0.0021657353340371,0.0008299170457187,0.7959149681512145,0.8964137009974394,0.0538831078698363,-0.0038541693706631,0.6403508771929824,Promoters,DNABERT-2
human_nontata_promoters,Promoters,Core,short_context,human,official,none,caduceus_ph,Caduceus-Ph,foundation_model,frozen,none,standard,1,0.8528062767459534,0.8894385357793013,0.7762895727252601,0.7819408951940205,0.5634314036164151,0.7773493444970805,0.0244592582419492,0.1538127081494769,10000.0,2000.0,9034.0,4915.0,4119.0,,,,,251,0.0404262294153215,0.035421740092982,0.0126528659459033,0.0072154057040811,0.1171383122870392,0.20234669028116,-0.0604816577373737,0.0711167275968698,0.0293918955585,0.0205888864290458,0.0015758352155724,0.0036286598460117,0.0033292762694073,0.003320788133717,0.0025255519835335,0.0014527386087238,0.7959149681512145,0.9332892942441527,0.0604816577373737,-0.0015758352155724,0.5614035087719298,Promoters,Caduceus-Ph
human_nontata_promoters,Promoters,Core,short_context,human,official,none,nucleotide_transformer_v2,Nucleotide Transformer v2,foundation_model,frozen,none,standard,1,0.649203,0.647364397678401,0.608,0.608,0.2160211711122043,0.6107249255213505,0.1118157020479762,0.2489450458730116,4000.0,800.0,2000.0,1000.0,1000.0,,,,,251,0.270379676193636,0.4545,0.0173825057085267,0.0024321668495478,0.2656037116564109,0.4305,0.0153835684139426,0.0158622804601884,0.2702584920492071,0.447,0.018043946745654,0.0257878131249156,0.0275602890402574,0.0425,0.0016108008595362,0.0058594316466456,0.7959149681512145,1.2259878160624866,-0.0153835684139426,-0.018043946745654,0.6491228070175438,Promoters,Nucleotide Transformer v2
human_enhancers_cohn,Enhancers (Cohn),Core,short_context,human,official,none,gc_only,GC-only logistic regression,diagnostic_logistic_regression,frozen,none,standard,2,0.7339186999468708,0.7350114162134621,0.6691134139320668,0.6691134139320668,0.3388057557061621,0.6591549295774648,0.0111692881865568,0.2081144388447765,8000.0,2000.0,4474.0,2237.0,2237.0,,,,,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7339186999468708,1.0,-0.0,-0.0,0.3947368421052631,Enhancers (Cohn),GC-only logistic regression
