task_id,task_label,external_family,model_id,model_label,condition_label,external_biological_reliability,external_reliability_risk,matched_negative_shift,core_mean_auroc,core_mean_shortcut_score,core_mean_rc_delta,core_mean_ece,core_matched_negative_shift,core_gc_bin_auroc_gap,configuration_label,model_family,external_AUROC,external_AUPRC,external_ECE,external_Brier,worst_GC_bin_AUROC,full_GenomeCF_profile_score,predicted_external_reliability,external_metric,source_file
gue_emp_h3k14ac,External histone mark (H3K14ac),Histone marks,caduceus_ph,Caduceus-Ph,Standard,0.175,0.6074074074074074,-0.0062028488515163,0.7416918124042852,0.6424501424501425,0.0348315164735973,0.0396484782153252,0.0682948139121478,0.1078033622448245,Caduceus-Ph | Standard,foundation model,0.59065,0.6128163286580621,0.0450469322740086,0.2447513329509977,0.4298412698412698,-0.6286426592394324,0.35111764772088516,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k14ac,External histone mark (H3K14ac),Histone marks,dnabert2,DNABERT-2,Standard,0.8125,0.5555555555555556,-0.0061743324270304,0.79375,0.6372207227470386,0.0806979403719271,0.0288679478520667,0.0129999514080891,0.0912554010604467,DNABERT-2 | Standard,foundation model,0.7553000000000001,0.7559027517656054,0.0365979977508782,0.2016521700717893,0.6171428571428572,-0.23817350725074993,0.7415867997095676,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k14ac,External histone mark (H3K14ac),Histone marks,dnabert2,DNABERT-2,Temperature-scaled,0.8611111111111112,0.4375,,0.8732950269749769,0.5789473684210527,0.0774539567818146,0.019902367608167,0.0332784659097183,0.0912554010604467,DNABERT-2 | Temperature-scaled,foundation model,0.7615513441319067,0.8004763997080938,0.0638766197900482,0.1994480396619631,0.6171428571428572,-0.23645658271919567,0.7433037242411219,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k14ac,External histone mark (H3K14ac),Histone marks,kmer_logistic_regression,6-mer logistic regression,Standard,0.5166666666666666,0.4555555555555555,-0.0211612279501351,0.7462655,0.6459551656920078,0.3394389041207518,0.2345065281072556,-0.0068479613695805,0.083379100691961,6-mer logistic regression | Standard,k-mer baseline,0.6651500000000001,0.6783146591585342,0.2371319418892744,0.2937848470713167,0.5707936507936509,-0.27553740471650534,0.7042229022438122,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k14ac,External histone mark (H3K14ac),Histone marks,small_cnn,CNN,Standard,0.525,0.6925925925925926,-0.0727616705979797,0.76882725,0.4509484180536812,0.0411793540697544,0.061206236347556,0.0083796891723006,0.1201250804749815,CNN | Standard,CNN,0.62105,0.6185667341268302,0.0330938100814819,0.248571952005345,0.6233236151603498,-0.5181043538242232,0.4616559531360944,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k14ac,External histone mark (H3K14ac),Histone marks,small_cnn_rc_aug,RC-aug CNN,Standard,0.7,0.7444444444444445,-0.0794125378876544,0.8039419999999999,0.3773429299745089,0.038917607627809,0.0517154488125815,0.0240417894564205,0.1179073009657394,RC-aug CNN | Standard,CNN,0.63365,0.6380531053238652,0.0232560534775257,0.2392265828642209,0.624313725490196,-0.5179486790078768,0.4618116279524408,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k4me3,External histone mark (H3K4me3),Histone marks,caduceus_ph,Caduceus-Ph,Standard,0.175,0.5888888888888889,0.0075825373517226,0.7416918124042852,0.6424501424501425,0.0348315164735973,0.0396484782153252,0.0682948139121478,0.1078033622448245,Caduceus-Ph | Standard,foundation model,0.577325,0.5555876300851736,0.0279391025717676,0.2459369134913639,0.4780487804878049,-0.6286426592394324,0.35111764772088516,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k4me3,External histone mark (H3K4me3),Histone marks,dnabert2,DNABERT-2,Standard,0.8958333333333334,0.5074074074074074,-0.0151602978565357,0.79375,0.6372207227470386,0.0806979403719271,0.0288679478520667,0.0129999514080891,0.0912554010604467,DNABERT-2 | Standard,foundation model,0.647775,0.643134679144981,0.0460268564716552,0.2335025489867994,0.5691756272401434,-0.23817350725074993,0.7415867997095676,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k4me3,External histone mark (H3K4me3),Histone marks,dnabert2,DNABERT-2,Temperature-scaled,0.9722222222222222,0.6041666666666666,,0.8732950269749769,0.5789473684210527,0.0774539567818146,0.019902367608167,0.0332784659097183,0.0912554010604467,DNABERT-2 | Temperature-scaled,foundation model,0.6658266441277416,0.6822007340543732,0.0283888726821194,0.2288970261334334,0.5691756272401434,-0.23645658271919567,0.7433037242411219,external_biological_reliability,results/release/external_transfer_prediction.csv
gue_emp_h3k4me3,External histone mark (H3K4me3),Histone marks,kmer_logistic_regression,6-mer logistic regression,Standard,0.6166666666666667,0.5037037037037037,-0.0360214053513857,0.7462655,0.6459551656920078,0.3394389041207518,0.2345065281072556,-0.0068479613695805,0.083379100691961,6-mer logistic regression | Standard,k-mer baseline,0.5857749999999999,0.5980431238553522,0.298733322080385,0.3478580363593544,0.5362007168458781,-0.27553740471650534,0.7042229022438122,external_biological_reliability,results/release/external_transfer_prediction.csv
