task_id,task_readable_name,tier,track,species,split_id,split_fold,model_id,model_readable_name,model_family,mode,calibration_method,intervention_id,seeds,auroc,auprc,accuracy,balanced_accuracy,mcc,f1,ece,brier,train_count,val_count,test_count,positive_count,negative_count,mean_abs_delta,flip_rate,positive_prob_drop,calibration_shift,sequence_length_summary,rc_mean_abs_delta,rc_flip_rate,rc_positive_prob_drop,rc_calibration_shift,mono_mean_abs_delta,mono_flip_rate,mono_positive_prob_drop,mono_calibration_shift,dinuc_mean_abs_delta,dinuc_flip_rate,dinuc_positive_prob_drop,dinuc_calibration_shift,motif_mean_abs_delta,motif_flip_rate,motif_positive_prob_drop,motif_calibration_shift,gc_only_auroc,gc_only_explainability_ratio,mono_retention,dinuc_retention,shortcut_score
human_enhancers_cohn,Enhancers (Cohn),core,short_context,human,official,none,caduceus_ph,Caduceus-Ph,foundation_model,frozen,none,standard,1,0.7727349710937637,0.7660089018939559,0.6922855497985032,0.6922855497985032,0.3856526901106323,0.680322966507177,0.0342800785565275,0.1945990957555004,10000.0,2000.0,6948.0,3474.0,3474.0,,,,,500,0.0298684137850311,0.0533966609096142,-0.0007448365795929,-0.0047516505931889,0.1172241216754355,0.202216465169833,-0.1025229935421168,0.0862308207857427,0.0502382862352451,0.0932642487046632,-0.0205491437594516,0.0083241803034612,0.0025595110506287,0.0064766839378238,-0.0006529929125713,-0.0001902671620616,0.7339186999468708,0.949767678959902,0.1025229935421168,0.0205491437594516,0.6052631578947368
human_enhancers_cohn,Enhancers (Cohn),core,short_context,human,official,none,dnabert2,DNABERT-2,foundation_model,frozen,none,standard,2,0.829724,0.8212542019876681,0.736,0.752,0.5040493992618101,0.7502517623363545,0.0248308120776902,0.1684215524305007,2000.0,800.0,1000.0,500.0,500.0,,,,,500,0.0591436634907785,0.097,-0.003537693072833,0.0132064982909392,0.1908418012604889,0.341,-0.048888688524904,0.1085232303233046,0.1434052035970671,0.227,0.0233092158668266,0.0129624726783854,0.0076215427514516,0.012,-0.000519391118564,0.0024214942664918,0.7339186999468708,0.8845335315681729,0.048888688524904,-0.0233092158668266,0.543859649122807
human_enhancers_cohn,Enhancers (Cohn),core,short_context,human,official,none,kmer_logistic_regression,6-mer logistic regression,classical,frozen,none,standard,2,0.700194,0.7225657690232126,0.6525,0.6593264248704663,0.3186576156431533,0.6602554901679345,0.2857826502558501,0.3092504288842322,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,500,0.3707913085785532,0.378,0.0172717217792954,0.0105582427753119,0.4242434977687761,0.4345,-0.0796955816894356,0.082524954120737,0.4051801925094063,0.419,0.13848789357906,0.0711104638266946,0.0326902502943085,0.0375647668393782,0.0093316905693945,0.0052751492130012,0.7339186999468708,1.0481647942525512,0.0796955816894356,-0.13848789357906,0.7192982456140351
human_enhancers_cohn,Enhancers (Cohn),core,short_context,human,official,none,small_cnn,CNN,cnn,full,none,standard,6,0.7535540000000001,0.7491350900292709,0.654,0.6845135290731146,0.3713990453992267,0.6656497864551556,0.0793757087886333,0.2086222937918012,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,500,0.0188364125788211,0.036,0.0013142824172973,-0.0012302174866199,0.059227667748928,0.1215,0.0077331066131591,-0.0043589839041233,0.0571020133793354,0.12,0.0144553780555725,-0.0129581188857555,0.0033524651080369,0.0071963154864709,-0.0017178654670715,0.0023626550714655,0.7339186999468708,0.973943075011042,-0.0077331066131591,-0.0144553780555725,0.3245614035087719
human_enhancers_cohn,Enhancers (Cohn),core,short_context,human,official,none,small_cnn_rc_aug,RC-aug CNN,cnn,full,none,standard,6,0.7645774999999999,0.7558621804422925,0.6745,0.68566493955095,0.3726485749715121,0.671875,0.0708906665369868,0.2026313437309672,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,500,0.0141832903027534,0.031,0.0001065731048583,0.0005418918952346,0.0659988671541214,0.124,0.0030723810195922,0.0056424895748496,0.0613313354551792,0.1165,0.0171687602996826,-0.0103029819764196,0.0032925647683441,0.0092112838226827,-0.0017876029014587,-0.0013787073657457,0.7339186999468708,0.9599009910007432,-0.0030723810195922,-0.0171687602996826,0.3157894736842105
human_enhancers_ensembl,Enhancers (Ensembl),core,short_context,human,official,none,caduceus_ph,Caduceus-Ph,foundation_model,frozen,none,standard,1,0.717767235241454,0.6861174493278257,0.6590248627704229,0.6590248627704229,0.3187096760820834,0.6476946687128845,0.0432965822595281,0.2168543161810468,10000.0,2000.0,30970.0,15485.0,15485.0,,,,,2-573,0.0461359751301055,0.1382951243138521,0.0001871188063019,0.0006074981989275,0.0650870816145168,0.1776557959315466,-0.0316648146657818,0.0020038531441855,0.0461606575119863,0.1380690991281885,-0.0094850690250444,-0.0083153443932386,0.001881747211874,0.0046819502744591,-0.0001629320231043,-0.000323152167085,0.6621940822250412,0.9225749654096174,0.0316648146657818,0.0094850690250444,0.7179487179487181
human_enhancers_ensembl,Enhancers (Ensembl),core,short_context,human,official,none,dnabert2,DNABERT-2,foundation_model,frozen,none,standard,1,0.775216,0.7477479533499024,0.699,0.699,0.3980963509768156,0.6956521739130435,0.0271078423685805,0.1936904636088807,2000.0,400.0,1000.0,500.0,500.0,,,,,8-569,0.0962735484349267,0.146,0.0008291195375121,-0.0026150092492807,0.1640166986454155,0.315,0.0428744396754445,0.0229165626320681,0.154091893020729,0.299,0.0094690798395876,0.0218054481962486,0.006790875225561,0.009,-0.003458342495036,0.0003245848568308,0.6621940822250412,0.8542059016132809,-0.0428744396754445,-0.0094690798395876,0.6794871794871796
human_enhancers_ensembl,Enhancers (Ensembl),core,short_context,human,official,none,kmer_logistic_regression,6-mer logistic regression,classical,frozen,none,standard,2,0.735919,0.7716277722866802,0.6725,0.7139812721989022,0.4279741423336616,0.7150302406382705,0.2457055763718007,0.2734987871521236,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,9-488,0.3435115053220235,0.3565,-0.0267104752773601,-0.0060712480118731,0.4271199750843948,0.448,0.2028774627488171,0.1316629615645519,0.434075068381236,0.45,0.2160423827040129,0.1118535295943451,0.0183017501119826,0.0195350339037778,0.0054883263195769,0.001482121664933,0.6621940822250412,0.899819249435116,-0.2028774627488171,-0.2160423827040129,0.6666666666666666
human_enhancers_ensembl,Enhancers (Ensembl),core,short_context,human,official,none,small_cnn,CNN,cnn,full,none,standard,6,0.838548,0.8799774246317112,0.7495,0.7934775589279948,0.5899642713727646,0.7825081610446137,0.0795540403276681,0.1719178157550824,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,9-488,0.0891550555825233,0.1325,0.0014162063598632,0.0099939513057471,0.1650836169719696,0.3095,0.1784351468086242,-0.0111335453838109,0.1045274287462234,0.198,0.0648070573806762,-0.0415476201958953,0.002362482715398,0.0029706167258637,-0.0010881423950195,-0.0010910517671125,0.6621940822250412,0.7896913262270511,-0.1784351468086242,-0.0648070573806762,0.4743589743589744
human_enhancers_ensembl,Enhancers (Ensembl),core,short_context,human,official,none,small_cnn_rc_aug,RC-aug CNN,cnn,full,none,standard,6,0.8839299999999999,0.8870534128229995,0.8055,0.8045527930255085,0.6105622228898323,0.7975652988194375,0.0399395995624363,0.1393566969178189,6000.0,2000.0,2000.0,1000.0,1000.0,,,,,9-488,0.0688883513212204,0.07,0.002810001373291,-0.0020066749379039,0.2593203783035278,0.4035,0.3199376463890075,0.1054037188924849,0.1523363590240478,0.2025,0.1265183091163635,-0.0045207061972468,0.0026361746713519,0.003035195350339,-0.0006323456764221,-0.0006901224038852,0.6621940822250412,0.7491476499553599,-0.3199376463890075,-0.1265183091163635,0.3846153846153846
