claim_id,paper_location,claim_text,source_artifact,script,expected,observed,tolerance,validated,notes
key_numbers::external_shortcut_vs_reliability_spearman_ci_low,paper/main_or_supplement,external_shortcut_vs_reliability_spearman_ci_low,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,-0.12940333568246104,,True,
key_numbers::matched_promoter_gc_only_auroc,paper/main_or_supplement,matched_promoter_gc_only_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.711853645370015,,True,
key_numbers::official_promoter_gc_only_auroc,paper/main_or_supplement,official_promoter_gc_only_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.7959149681512145,,True,
key_numbers::promoter_dnabert_gc_gap,paper/main_or_supplement,promoter_dnabert_gc_gap,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.2621939610925163,,True,
key_numbers::promoter_dnabert_worst_gc_bin_auroc,paper/main_or_supplement,promoter_dnabert_worst_gc_bin_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.7178393745557925,,True,
key_numbers::promoter_kmer_auroc,paper/main_or_supplement,promoter_kmer_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.8984909999999999,,True,
key_numbers::promoter_kmer_rc_instability,paper/main_or_supplement,promoter_kmer_rc_instability,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.2634432589752333,,True,
key_numbers::promoter_rc_aug_rc_instability,paper/main_or_supplement,promoter_rc_aug_rc_instability,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.0165502354502677,,True,
key_numbers::promoter_rc_aug_temperature_ece_after,paper/main_or_supplement,promoter_rc_aug_temperature_ece_after,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.0300379513092338,,True,
key_numbers::promoter_rc_aug_temperature_ece_before,paper/main_or_supplement,promoter_rc_aug_temperature_ece_before,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.061482461035344,,True,
key_numbers::synthetic_gc_conflict_dnabert_rule_rate,paper/main_or_supplement,synthetic_gc_conflict_dnabert_rule_rate,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.0,,True,
key_numbers::synthetic_gc_conflict_dnabert_shortcut_rate,paper/main_or_supplement,synthetic_gc_conflict_dnabert_shortcut_rate,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,1.0,,True,
key_numbers::synthetic_gc_correlated_auroc,paper/main_or_supplement,synthetic_gc_correlated_auroc,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,1.0,,True,
key_numbers::synthetic_gc_correlated_motif_drop,paper/main_or_supplement,synthetic_gc_correlated_motif_drop,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.0003598318935633,,True,
key_numbers::synthetic_gc_matched_mono_drop,paper/main_or_supplement,synthetic_gc_matched_mono_drop,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.9463044927016124,,True,
key_numbers::synthetic_gc_matched_motif_drop,paper/main_or_supplement,synthetic_gc_matched_motif_drop,C:\Users\bhatt\Documents\Masters\Subjects\AM-234 Machine Learning and Artificial Intelligence in Genomics\Project\GenomeCF\results\publication\key_numbers.json,src/generate_publication_artifacts.py,,0.6748301988936416,,True,
abstract_promoter_kmer_auroc,Abstract; Results/Held-out AUROC,AUROC = 0.898,results/publication/table2_main_results.csv,src/generate_release_bundle.py,0.898491,0.8984909999999999,0.001,True,
abstract_promoter_kmer_rc_instability,Abstract; Results/Held-out AUROC,RC instability = 0.263,results/publication/table2_main_results.csv,src/generate_release_bundle.py,0.263443,0.2634432589752333,0.001,True,
