task_id,split_id,model_id,task_label,model_label,auroc,ece,brier,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_explainability_ratio,gc_only_auroc_official,gc_only_auroc_matched
human_enhancers_cohn,matched_test,caduceus_ph,Enhancers (Cohn),Caduceus-Ph,0.6933720391822946,0.0734663712760024,0.2161438481596369,-0.1024097724562637,-0.020609886437731,0.9219946684515878,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,caduceus_ph,Enhancers (Cohn),Caduceus-Ph,0.7727349710937637,0.0342800785565275,0.1945990957555004,-0.1025229935421168,-0.0205491437594516,0.949767678959902,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,dnabert2,Enhancers (Cohn),DNABERT-2,0.7831267930428194,0.059579344910046,0.1848134137109928,-0.0408819016889659,0.0280310177057119,0.8163241623946412,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,dnabert2,Enhancers (Cohn),DNABERT-2,0.829724,0.0248308120776902,0.1684215524305007,-0.048888688524904,0.0233092158668266,0.8845335315681729,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,gc_only,Enhancers (Cohn),GC-only logistic regression,0.6392853233794811,0.0687737820620118,0.2309419571875778,0.0,0.0,1.0,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,gc_only,Enhancers (Cohn),GC-only logistic regression,0.7339186999468708,0.0111692881865568,0.2081144388447765,0.0,0.0,1.0,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,kmer_logistic_regression,Enhancers (Cohn),6-mer logistic regression,0.6843793945812884,0.2490119017790831,0.2889201660699905,-0.1047314240068123,0.0906788775459468,0.9341095428079094,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,kmer_logistic_regression,Enhancers (Cohn),6-mer logistic regression,0.700194,0.2857826502558501,0.3092504288842322,-0.0796955816894356,0.13848789357906,1.0481647942525512,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,matched_test,small_cnn,Enhancers (Cohn),CNN,0.6727535557712438,0.0735889895597068,0.2229237478693353,-0.0064048767089843,0.0148357152938842,0.950251868452193,0.7339186999468708,0.6392853233794811
human_enhancers_cohn,official,small_cnn,Enhancers (Cohn),CNN,0.7535540000000001,0.0793757087886333,0.2086222937918012,0.0077331066131591,0.0144553780555725,0.973943075011042,0.7339186999468708,0.6392853233794811
