case_study_id,case_study_message,task_id,task_label,external_family,model_id,model_label,condition_label,decision_role,core_mean_auroc,core_mean_ece,core_mean_shortcut_score,auroc,auprc,spearman_abs_effect,topk_enrichment,ece,brier,worst_bin_auroc,gc_bin_auroc_gap,topk_precision,objective,GenomeCF_recommendation,AUROC_only_choice,configuration,source_file
Case A,Calibration-aware selection improves variant prioritization on BCL11A MPRA.,mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,dnabert2,DNABERT-2,Standard,Reference comparison,0.79375,0.0288679478520667,0.6372207227470386,0.5404107565011821,0.1245153178050686,0.0065492751406887,1.2338709677419355,0.0515596537166855,0.0749006005347617,0.3400621118012422,0.2752629655981385,0.0967741935483871,variant_prioritization,False,False,Standard,results/release/biological_case_study.csv
Case A,Calibration-aware selection improves variant prioritization on BCL11A MPRA.,mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,small_cnn,CNN,Standard,AUROC-only default configuration,0.76882725,0.061206236347556,0.4509484180536812,0.4341755319148936,0.0974173776642358,-0.0784611759468514,1.2338709677419355,0.0394586296934707,0.0738373449603956,0.3685758513931888,0.2230390554391093,0.0967741935483871,variant_prioritization,False,True,Standard,results/release/biological_case_study.csv
Case A,Calibration-aware selection improves variant prioritization on BCL11A MPRA.,mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,small_cnn,CNN,Temperature-scaled,GenomeCF-aware configuration,0.81802,0.0395739197134971,0.4429824561403508,0.5825206855791961,0.1666166501555553,0.0126954210191475,2.056451612903226,0.041656116936721,0.0739941490574745,0.5394736842105263,0.1561784897025171,0.1612903225806451,variant_prioritization,True,False,Temperature-scaled,results/release/biological_case_study.csv
Case B,GenomeCF shifts variant-ranking preference from 6-mer AUROC to DNABERT-2 top-k enrichment on MYC MPRA.,mpra_myc_enhancer,MPRA variant effect (MYC enhancer),Variant effect,dnabert2,DNABERT-2,Standard,GenomeCF-aware variant-ranking choice,0.79375,0.0288679478520667,0.6372207227470386,0.5802859042553191,0.2214605905976867,0.1053415152420848,1.934042553191489,0.002298196542174,0.1309574208505014,0.5025862068965516,0.2074832375478928,0.3,top_k_nomination,True,False,Standard,results/release/biological_case_study.csv
Case B,GenomeCF shifts variant-ranking preference from 6-mer AUROC to DNABERT-2 top-k enrichment on MYC MPRA.,mpra_myc_enhancer,MPRA variant effect (MYC enhancer),Variant effect,kmer_logistic_regression,6-mer logistic regression,Standard,AUROC-only variant-ranking choice,0.7462655,0.2345065281072556,0.6459551656920078,0.617436835106383,0.273063462752857,0.1296893080160884,1.5042553191489365,0.0699571014229186,0.133241625302057,0.5790948275862069,0.1031968390804597,0.2333333333333333,top_k_nomination,False,True,Standard,results/release/biological_case_study.csv
