task_id,task_label,model_id,model_label,seed,overall_auroc,overall_ece,overall_brier,n_bins,worst_bin_auroc,best_bin_auroc,gc_bin_auroc_gap,worst_bin_ece,best_bin_ece,gc_bin_ece_gap,runtime_seconds,device
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,0.9159055731855232,0.09538277454156603,0.12107021787086031,5,0.7669729952855808,0.9854553391604577,0.21848234387487686,0.1423681146175582,0.01729940905613283,0.12506870556142535,2.3177762089908356,cuda
human_nontata_promoters,Promoters,small_cnn,CNN,2026,0.9012108490613802,0.08743553712076653,0.1337272925155843,5,0.6644118769843856,0.9712033573760083,0.30679148039162263,0.13870768003836315,0.009171775756398598,0.12953590428196454,4.047239529987564,cuda
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,0.901722212795973,0.06035960980958847,0.12356019063105701,5,0.6518964752035208,0.9866310160427808,0.33473454083926,0.10623880448606643,0.026184528640814803,0.08005427584525163,4.2903268829977605,cuda
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,0.9133644374863084,0.019617310236404437,0.11333873069345822,5,0.7178393745557925,0.9800333356483089,0.26219396109251636,0.037917054835275625,0.027902729095202198,0.010014325740073427,1.0589682949939743,cuda
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,0.8525102019596554,0.023503289751203037,0.1537876382207589,5,0.6643684261164545,0.8725754764715805,0.208207050355126,0.10351167793100512,0.03828534556241753,0.06522633236858759,0.351728446999914,cuda
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,0.7198442480351613,0.22300872175211128,0.270705046380374,5,0.6310163939809379,0.6778130356073486,0.04679664162641073,0.2750858169022459,0.1898915284176187,0.08519428848462723,12.799133272012114,cuda
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,0.74543135469044,0.09795526207076731,0.21511837071677625,5,0.5922567771779644,0.6601573524046833,0.06790057522671888,0.1319496015290434,0.04572883465528989,0.0862207668737535,4.17426903899468,cuda
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,0.7721113732774,0.0569721851015338,0.19798948930260252,5,0.6670224031917775,0.689858950018805,0.022836546827027515,0.08701938382043087,0.03361386095494966,0.053405522865481204,7.174591356000747,cuda
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,0.8332256164636452,0.016046790690899378,0.1668050505243243,5,0.7518980930990444,0.8069171469302541,0.05501905383120964,0.03860977903800212,0.017850080112691305,0.020759698925310814,1.203671466006199,cuda
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,0.7740950208622719,0.03555943012926822,0.19427130175764548,5,0.6555683711919089,0.7376273330522204,0.08205896186031147,0.07358040953280935,0.027972252103641734,0.045608157429167615,0.39772796200122684,cuda
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,0.7784144873813639,0.17501414668195403,0.22641031918942567,5,0.731078644688173,0.7843626468751179,0.053284002186944956,0.19319292436925833,0.14785630558748192,0.04533661878177642,2.387726939006825,cuda
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,0.8781099627802338,0.0217468554728409,0.1424250104366578,5,0.8347663557195247,0.906283339027386,0.07151698330786127,0.04844151718845203,0.022346452817241395,0.026095064371210633,4.0623881759966025,cuda
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,2026,0.8875353996477473,0.012173310856487918,0.1357882626548454,5,0.8464727693559946,0.9086102590409678,0.062137489684973235,0.040788767748321124,0.017582424328858877,0.023206343419462247,7.111167192997527,cuda
human_enhancers_ensembl,Enhancers (Ensembl),dnabert2,DNABERT-2,2026,0.8066575286279627,0.020511882178679754,0.1792876044615061,5,0.7606148084463563,0.7879264513546256,0.027311642908269262,0.050179661133656385,0.030609903412616365,0.01956975772104002,53.79923610799597,cuda
human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,2026,0.7199467273265066,0.043569972610788946,0.2161734046088559,5,0.6169911494890621,0.6814537985954301,0.06446264910636801,0.07402659750860756,0.042529629176656654,0.031496968331950904,22.88141982900561,cuda
human_ocr_ensembl,Open chromatin,kmer_logistic_regression,6-mer logistic regression,2026,0.6855654108062059,0.21922878434893145,0.27830843178673803,5,0.669683995244412,0.6846374103240239,0.014953415079611898,0.24234126398739447,0.18954672260302483,0.05279454138436965,5.481474708998576,cuda
human_ocr_ensembl,Open chromatin,small_cnn,CNN,2026,0.696951098707204,0.041616138343034834,0.22223108554319435,5,0.6634095979509551,0.697700880924679,0.03429128297372386,0.0798901604045411,0.01799243995346905,0.061897720451072044,4.35546637600055,cuda
human_ocr_ensembl,Open chromatin,small_cnn_rc_aug,RC-aug CNN,2026,0.7371359137215996,0.029176999281680008,0.20816842519116796,5,0.7074079211080992,0.7593285476197964,0.051920626511697154,0.07140332679230939,0.015729832737448896,0.055673494054860495,7.724428275992977,cuda
human_ocr_ensembl,Open chromatin,dnabert2,DNABERT-2,2026,0.7176536250663434,0.011076035638774037,0.21396545969402428,5,0.6901651052835788,0.7106620516933708,0.02049694640979205,0.048361070079521805,0.02459253322691791,0.023768536852603894,58.890720125011285,cuda
human_ocr_ensembl,Open chromatin,caduceus_ph,Caduceus-Ph,2026,0.6248553488206643,0.05681420129670065,0.24137895040415083,5,0.557653982129942,0.6341387697874348,0.07648478765749278,0.0956511339496171,0.03474443852539946,0.060906695424217644,19.989620512002148,cuda
