task_id,model_id,calibration_method,intervention_id,auroc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,motif_positive_prob_drop,task_label,model_label,condition,matched_auroc,matched_ece,matched_brier
human_enhancers_cohn,caduceus_ph,none,matched_negative_retraining,0.7767910083923043,0.0894867823420158,0.2063495786157846,0.0365714827273417,-0.1054717080893559,-0.0242531242281798,2.825070960410514e-05,Enhancers (Cohn),Caduceus-Ph,matched_negative_retraining,0.7106389040460865,0.0289105426381394,0.2044666943083512
human_enhancers_cohn,caduceus_ph,none,standard,0.7727349710937637,0.0342800785565275,0.1945990957555004,0.0298684137850311,-0.1025229935421168,-0.0205491437594516,-0.0006529929125713,Enhancers (Cohn),Caduceus-Ph,standard,0.6933720391822946,0.0734663712760024,0.2161438481596369
human_enhancers_cohn,caduceus_ph,temperature,standard,0.7740950208622719,0.0368955751171562,0.1941308604119445,0.0312608349181643,-0.1116576710051441,-0.0238982159895394,-0.0004586041671443,Enhancers (Cohn),Caduceus-Ph,temperature_scaled,0.6962853062102661,0.0763300282682425,0.2156504273506376
human_enhancers_cohn,dnabert2,none,matched_negative_retraining,0.8198345866605418,0.0728320090766263,0.1795844910080493,0.0698605693478599,-0.1104394154676401,0.0139235312104178,0.0002737891030055,Enhancers (Cohn),DNABERT-2,matched_negative_retraining,0.7887495768056783,0.0159506747466887,0.1767341607164018
human_enhancers_cohn,dnabert2,none,standard,0.832364,0.0177455895021824,0.1673960058282947,0.060183102628605,-0.0773962200148066,0.010910567835066,-0.000519391118564,Enhancers (Cohn),DNABERT-2,standard,0.7831267930428194,0.059579344910046,0.1848134137109928
human_enhancers_cohn,dnabert2,temperature,standard,0.8332256164636452,0.0194632762840244,0.1668996498707682,0.0652434820903101,-0.0420258569230306,0.0285053752941821,0.0001372697558235,Enhancers (Cohn),DNABERT-2,temperature_scaled,0.7831313536155416,0.060644126912837,0.1844059810789157
human_enhancers_cohn,small_cnn,none,gc_balanced,0.7523539999999999,0.1202878156006336,0.2186517150833546,0.0330276787281036,0.0012133717536926,-0.0016725361347198,-0.0010576248168945,Enhancers (Cohn),CNN,gc_balanced,,,
human_enhancers_cohn,small_cnn,none,matched_negative_retraining,0.7392847400990796,0.1092542138553311,0.2283230419672412,0.0275904815644025,-0.0125150084495544,0.0204517245292663,-0.0013788938522338,Enhancers (Cohn),CNN,matched_negative_retraining,0.6718215893220361,0.0594914110211715,0.2212250146121552
human_enhancers_cohn,small_cnn,none,standard,0.7500055101321802,0.0371965014267976,0.2040775067168555,0.0458406992256641,0.0250227451324462,0.0054828524589538,-0.0017178654670715,Enhancers (Cohn),CNN,standard,0.6727535557712438,0.0735889895597068,0.2229237478693353
human_enhancers_cohn,small_cnn,temperature,standard,0.7609539999999999,0.0401109736561775,0.2002463834028573,0.0283500477671623,0.0204386115074157,0.0042489171028137,-0.0015625357627868,Enhancers (Cohn),CNN,temperature_scaled,,,
human_enhancers_cohn,small_cnn_rc_aug,none,gc_balanced,0.766951,0.0617251340337097,0.2005870326856444,0.0409744903445243,0.0128912925720214,0.0121446847915649,-0.0019232630729675,Enhancers (Cohn),RC-aug CNN,gc_balanced,,,
human_enhancers_cohn,small_cnn_rc_aug,none,matched_negative_retraining,0.7567951530060132,0.1018145108315611,0.2177045449336939,0.0440991818904876,-0.007818579673767,0.0162040591239929,0.0006788969039916,Enhancers (Cohn),RC-aug CNN,matched_negative_retraining,0.6830557554159484,0.018762021768984,0.2134077445012972
human_enhancers_cohn,small_cnn_rc_aug,none,standard,0.7556242706325035,0.0348070410043258,0.2021991418807238,0.0361816361546516,-0.0198650956153869,0.0038124918937683,-0.0017876029014587,Enhancers (Cohn),RC-aug CNN,standard,0.6960452054698972,0.0805212842399963,0.2170083911056838
human_enhancers_cohn,small_cnn_rc_aug,temperature,standard,0.7646739999999999,0.0204600488692521,0.1977643604671946,0.0647559240460395,0.0199081897735595,0.0220335721969604,-0.0013246536254882,Enhancers (Cohn),RC-aug CNN,temperature_scaled,,,
human_enhancers_ensembl,caduceus_ph,none,standard,0.717767235241454,0.0432965822595281,0.2168543161810468,0.0461359751301055,-0.0316648146657818,-0.0094850690250444,-0.0001629320231043,Enhancers (Ensembl),Caduceus-Ph,standard,0.651955332291049,0.1030044723596689,0.2287701178758195
human_enhancers_ensembl,dnabert2,none,standard,0.775216,0.0271078423685805,0.1936904636088807,0.0962735484349267,0.0428744396754445,0.0094690798395876,-0.003458342495036,Enhancers (Ensembl),DNABERT-2,standard,0.7737994844343186,0.0758359340748385,0.1878472687933616
human_enhancers_ensembl,small_cnn,none,gc_balanced,0.8728325859109959,0.0917368380889936,0.1569056802934076,0.1191368773579597,0.3751029372215271,0.1782149970531463,-0.0015870928764343,Enhancers (Ensembl),CNN,gc_balanced,,,
human_enhancers_ensembl,small_cnn,none,matched_negative_retraining,0.8586396034201023,0.1479055782270635,0.1791086422318958,0.1091851890087127,0.2540321350097656,0.1148285865783691,9.47713851928711e-05,Enhancers (Ensembl),CNN,matched_negative_retraining,0.8491786180245249,0.0718513902166942,0.1573328096945009
