task_id,split_id,model_id,calibration_method,intervention_id,auroc,motif_positive_prob_drop,mono_positive_prob_drop,dinuc_positive_prob_drop,task_label,model_label
human_enhancers_ensembl,matched_test,small_cnn_rc_aug,none,matched_negative_retraining,0.8637885393853406,-0.0005990266799926,0.325469434261322,0.1297804117202758,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,matched_test,small_cnn_rc_aug,none,standard,0.8699805307143664,-0.0005580782890319,0.3657114505767822,0.1686581373214721,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,official,caduceus_ph,none,standard,0.717767235241454,-0.0001629320231043,-0.0316648146657818,-0.0094850690250444,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,official,cpg_only,none,standard,0.5634342462092901,0.0,0.0,0.0,Enhancers (Ensembl),CpG-only logistic regression
human_enhancers_ensembl,official,dnabert2,none,standard,0.775216,-0.003458342495036,0.0428744396754445,0.0094690798395876,Enhancers (Ensembl),DNABERT-2
human_enhancers_ensembl,official,gc_only,none,standard,0.6621940822250412,0.0,0.0,0.0,Enhancers (Ensembl),GC-only logistic regression
human_enhancers_ensembl,official,kmer_logistic_regression,none,standard,0.735919,0.0054883263195769,0.2028774627488171,0.2160423827040129,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,official,length_only,none,standard,0.5,0.0,0.0,0.0,Enhancers (Ensembl),Length-only logistic regression
human_enhancers_ensembl,official,repeat_only,none,standard,0.4995653130838233,0.0,0.0,0.0,Enhancers (Ensembl),Repeat-only logistic regression
human_enhancers_ensembl,official,small_cnn,none,gc_balanced,0.8728325859109959,-0.0015870928764343,0.3751029372215271,0.1782149970531463,Enhancers (Ensembl),CNN
human_enhancers_ensembl,official,small_cnn,none,matched_negative_retraining,0.8586396034201023,9.47713851928711e-05,0.2540321350097656,0.1148285865783691,Enhancers (Ensembl),CNN
human_enhancers_ensembl,official,small_cnn,none,standard,0.838548,-0.0010881423950195,0.1784351468086242,0.0648070573806762,Enhancers (Ensembl),CNN
human_enhancers_ensembl,official,small_cnn_rc_aug,none,gc_balanced,0.8861552478890223,-0.0008595585823059,0.3577423989772796,0.1657282710075378,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,official,small_cnn_rc_aug,none,matched_negative_retraining,0.8743075621110517,-0.0004105567932128,0.3360629379749298,0.1211573481559753,Enhancers (Ensembl),RC-aug CNN
