task_id,task_label,gc_before_after,cpg_before_after,length_before_after,repeat_before_after,n_before_after,gc_only_shift
human_nontata_promoters,Promoters,0.484/0.627 -> 0.484/0.626,0.265/0.682 -> 0.265/0.684,251.0/251.0 -> 251.0/251.0,0.222/0.243 -> 0.222/0.243,0.000/0.000 -> 0.000/0.000,0.796 -> 0.712
human_enhancers_cohn,Enhancers (Cohn),0.394/0.469 -> 0.394/0.469,0.182/0.258 -> 0.182/0.258,500.0/500.0 -> 500.0/500.0,0.236/0.232 -> 0.236/0.232,0.000/0.000 -> 0.000/0.000,0.734 -> 0.639
human_enhancers_ensembl,Enhancers (Ensembl),0.409/0.460 -> 0.409/0.460,0.209/0.249 -> 0.209/0.249,267.9/267.9 -> 267.9/267.9,0.233/0.245 -> 0.233/0.245,0.001/0.000 -> 0.001/0.000,0.662 -> 0.576
