dataset,model_family,seed,epoch,train_loss,val_auroc,val_accuracy,val_ece
human_nontata_promoters,small_cnn,11,1.0,0.6079167940399863,0.8012111111111111,0.7333333333333333,0.05933189839124681
human_nontata_promoters,small_cnn,11,2.0,0.5141506858847358,0.8093111111111111,0.6733333333333333,0.18494882263243198
human_nontata_promoters,small_cnn,11,3.0,0.5367967567660592,0.8149777777777779,0.7566666666666667,0.05771090293924013
human_nontata_promoters,small_cnn,11,4.0,0.4917759041894566,0.8180666666666667,0.7666666666666667,0.06194296392301717
human_nontata_promoters,small_cnn,11,5.0,0.4794002649458972,0.8242222222222222,0.7683333333333333,0.03254091600577036
human_nontata_promoters,small_cnn,11,6.0,0.4648061069575223,0.8299666666666667,0.7733333333333333,0.029913646380106608
human_nontata_promoters,small_cnn,23,1.0,0.6117203289812262,0.8455333333333332,0.775,0.0671048332626621
human_nontata_promoters,small_cnn,23,2.0,0.519247592850165,0.8587,0.7566666666666667,0.13648744329810142
human_nontata_promoters,small_cnn,23,3.0,0.5239992087537592,0.8597888888888889,0.79,0.0564928846557935
human_nontata_promoters,small_cnn,23,4.0,0.4794913340698589,0.8637333333333332,0.7933333333333333,0.041466793691118574
human_nontata_promoters,small_cnn,23,5.0,0.49442967907948926,0.8670111111111112,0.805,0.042115204632282265
human_nontata_promoters,small_cnn,23,6.0,0.4672959799116308,0.8698111111111111,0.795,0.0612791150311629
human_nontata_promoters,small_cnn,37,1.0,0.5561009848659689,0.8316777777777778,0.7516666666666667,0.07078170691927274
human_nontata_promoters,small_cnn,37,2.0,0.48207630894400855,0.8414222222222222,0.745,0.05852313672502834
human_nontata_promoters,small_cnn,37,3.0,0.46519775011322717,0.8518333333333332,0.77,0.03340706728398799
human_nontata_promoters,small_cnn,37,4.0,0.45215032723816956,0.8632555555555557,0.8083333333333333,0.048964331820607186
human_nontata_promoters,small_cnn,37,5.0,0.42693693935871124,0.8697222222222223,0.8066666666666666,0.08830346509814262
human_nontata_promoters,small_cnn,37,6.0,0.43651920557022095,0.8721999999999999,0.8033333333333333,0.0771826011563341
human_nontata_promoters,small_cnn,49,1.0,0.5904696624387394,0.8173777777777779,0.7616666666666667,0.03969410993158817
human_nontata_promoters,small_cnn,49,2.0,0.5017866248434241,0.8224777777777779,0.7666666666666667,0.06220646604895592
human_nontata_promoters,small_cnn,49,3.0,0.4781600304625251,0.8257333333333333,0.7783333333333333,0.04696380205452441
human_nontata_promoters,small_cnn,49,4.0,0.4657412564212626,0.8294444444444443,0.7133333333333334,0.12310061181584996
human_nontata_promoters,small_cnn,49,5.0,0.478940412402153,0.8351166666666667,0.78,0.03821559237937132
human_nontata_promoters,small_cnn,49,6.0,0.4470932294021953,0.8371777777777778,0.7783333333333333,0.06217039609948796
human_nontata_promoters,small_cnn,61,1.0,0.6003147174011577,0.8357666666666667,0.7,0.1841990707069635
human_nontata_promoters,small_cnn,61,2.0,0.5209950764070858,0.8461888888888889,0.7766666666666666,0.04718181175490221
human_nontata_promoters,small_cnn,61,3.0,0.47965366461060266,0.8524888888888889,0.7933333333333333,0.03930459141731261
human_nontata_promoters,small_cnn,61,4.0,0.47239594703370874,0.8533555555555554,0.8066666666666666,0.040580316732327135
human_nontata_promoters,small_cnn,61,5.0,0.46012603694742377,0.8581222222222225,0.7983333333333333,0.04081462408105532
human_nontata_promoters,small_cnn,61,6.0,0.44861245290799573,0.8578,0.7783333333333333,0.08769478693604468
human_nontata_promoters,small_cnn_rc_aug,11,1.0,0.5743268132209778,0.8243361111111112,0.76,0.039591697975993136
human_nontata_promoters,small_cnn_rc_aug,11,2.0,0.496912466925244,0.8328944444444445,0.7675,0.059700697225828964
human_nontata_promoters,small_cnn_rc_aug,11,3.0,0.48037926748741505,0.838775,0.7608333333333334,0.04746985115110874
human_nontata_promoters,small_cnn_rc_aug,11,4.0,0.4645296023335568,0.8508444444444445,0.7991666666666667,0.014591959516207374
human_nontata_promoters,small_cnn_rc_aug,11,5.0,0.452063160580258,0.8627055555555556,0.8033333333333333,0.02915155727416277
human_nontata_promoters,small_cnn_rc_aug,11,6.0,0.4369175517281821,0.8671000000000001,0.8008333333333333,0.06822178257008392
human_nontata_promoters,small_cnn_rc_aug,23,1.0,0.563368592844453,0.8265638888888888,0.7416666666666667,0.09997505204131207
human_nontata_promoters,small_cnn_rc_aug,23,2.0,0.49570817379064336,0.839388888888889,0.7658333333333334,0.03307290373990934
human_nontata_promoters,small_cnn_rc_aug,23,3.0,0.47271203440289167,0.84245,0.7791666666666667,0.033515492454171174
human_nontata_promoters,small_cnn_rc_aug,23,4.0,0.46077086066090783,0.8545305555555556,0.7916666666666666,0.03044650063539545
human_nontata_promoters,small_cnn_rc_aug,23,5.0,0.4501800966817279,0.8589361111111111,0.7966666666666666,0.024840416647493847
human_nontata_promoters,small_cnn_rc_aug,23,6.0,0.43640629011531207,0.8622722222222222,0.795,0.055897353502611324
human_nontata_promoters,small_cnn_rc_aug,37,1.0,0.5294120796891146,0.8488805555555556,0.7791666666666667,0.030925874734918268
human_nontata_promoters,small_cnn_rc_aug,37,2.0,0.4772974620031756,0.8541277777777777,0.745,0.11620407111942767
human_nontata_promoters,small_cnn_rc_aug,37,3.0,0.45653683293697445,0.8611694444444444,0.7708333333333334,0.09792214617133141
human_nontata_promoters,small_cnn_rc_aug,37,4.0,0.43708097518876543,0.8669,0.8116666666666666,0.04465999781464538
human_nontata_promoters,small_cnn_rc_aug,37,5.0,0.42562741526337555,0.8672972222222222,0.8191666666666667,0.02524771864215532
human_nontata_promoters,small_cnn_rc_aug,37,6.0,0.42668298372002533,0.8744861111111112,0.81,0.06638401541858913
human_nontata_promoters,small_cnn_rc_aug,49,1.0,0.5453860468642656,0.8230527777777779,0.7625,0.06445966760317486
human_nontata_promoters,small_cnn_rc_aug,49,2.0,0.4798361846180849,0.8366416666666667,0.7808333333333334,0.06037588608761627
human_nontata_promoters,small_cnn_rc_aug,49,3.0,0.4751121942387071,0.8414361111111112,0.7875,0.049555436695615455
human_nontata_promoters,small_cnn_rc_aug,49,4.0,0.45583859363267587,0.8446166666666666,0.785,0.057084144428372396
human_nontata_promoters,small_cnn_rc_aug,49,5.0,0.4439855564472287,0.8495166666666666,0.78,0.0781540731340647
human_nontata_promoters,small_cnn_rc_aug,49,6.0,0.4365916099659232,0.8576333333333332,0.7975,0.054442349995176
human_nontata_promoters,small_cnn_rc_aug,61,1.0,0.5609892052273417,0.8470805555555555,0.7766666666666666,0.06066321598986786
human_nontata_promoters,small_cnn_rc_aug,61,2.0,0.47853145211241965,0.8561833333333333,0.8008333333333333,0.03309831090271473
human_nontata_promoters,small_cnn_rc_aug,61,3.0,0.46079252209774285,0.8648166666666666,0.8033333333333333,0.0529869004835685
human_nontata_promoters,small_cnn_rc_aug,61,4.0,0.4472151876882065,0.8729472222222222,0.8116666666666666,0.02351185002674658
human_nontata_promoters,small_cnn_rc_aug,61,5.0,0.4355117401411367,0.8745277777777778,0.7808333333333334,0.10507315034667651
human_nontata_promoters,small_cnn_rc_aug,61,6.0,0.42778973385345104,0.8800444444444444,0.82,0.050870353231827425
human_enhancers_cohn,small_cnn,11,1.0,0.6693916916847229,0.7557444444444444,0.6783333333333333,0.029120542183518408
human_enhancers_cohn,small_cnn,11,2.0,0.6219813904979012,0.7626555555555555,0.6516666666666666,0.12685529688994088
human_enhancers_cohn,small_cnn,11,3.0,0.6225807964801788,0.7649555555555555,0.695,0.059034903869032845
human_enhancers_cohn,small_cnn,11,4.0,0.6029777499762449,0.7661888888888888,0.6933333333333334,0.058429661790529885
human_enhancers_cohn,small_cnn,11,5.0,0.6002586131746118,0.7702444444444445,0.6783333333333333,0.07005593287448086
human_enhancers_cohn,small_cnn,11,6.0,0.5988320816646923,0.7730444444444444,0.7,0.05048857351144155
human_enhancers_cohn,small_cnn,23,1.0,0.6817536435344003,0.7215444444444445,0.6516666666666666,0.07024663796027503
human_enhancers_cohn,small_cnn,23,2.0,0.6326571594585072,0.7278,0.635,0.13092563584446906
human_enhancers_cohn,small_cnn,23,3.0,0.6431666937741366,0.7292222222222223,0.6616666666666666,0.049385961492856324
human_enhancers_cohn,small_cnn,23,4.0,0.6028735827315937,0.7306222222222223,0.6616666666666666,0.02954167157411576
human_enhancers_cohn,small_cnn,23,5.0,0.5917451679706573,0.7304444444444443,0.6466666666666666,0.08999018684029579
human_enhancers_cohn,small_cnn,23,6.0,0.5899742245674133,0.7322777777777777,0.6483333333333333,0.0834179017196099
human_enhancers_cohn,small_cnn,37,1.0,0.6552773361856287,0.7092222222222222,0.6483333333333333,0.030253293216228487
human_enhancers_cohn,small_cnn,37,2.0,0.618743899193677,0.7145444444444446,0.6533333333333333,0.025373226826389626
human_enhancers_cohn,small_cnn,37,3.0,0.6156631220470775,0.7155777777777779,0.66,0.019910866220792127
human_enhancers_cohn,small_cnn,37,4.0,0.600445029410449,0.7188333333333333,0.6616666666666666,0.01905618752042451
human_enhancers_cohn,small_cnn,37,5.0,0.5999486961148002,0.7235777777777779,0.6683333333333333,0.029025198966264702
human_enhancers_cohn,small_cnn,37,6.0,0.5962063101204959,0.7221222222222222,0.6583333333333333,0.02348042053480943
human_enhancers_cohn,small_cnn,49,1.0,0.658870442347093,0.7508888888888889,0.6483333333333333,0.09673788040876392
human_enhancers_cohn,small_cnn,49,2.0,0.6166530116037889,0.7542333333333333,0.6866666666666666,0.050087273245056456
human_enhancers_cohn,small_cnn,49,3.0,0.6036300374702974,0.7607222222222223,0.705,0.03842265665531158
human_enhancers_cohn,small_cnn,49,4.0,0.5994916206056421,0.7656777777777777,0.6166666666666667,0.16705559730529787
human_enhancers_cohn,small_cnn,49,5.0,0.6178348714655096,0.7654000000000001,0.635,0.13420699161787827
human_enhancers_cohn,small_cnn,49,6.0,0.6066434979438782,0.7654555555555554,0.6816666666666666,0.07955578913291296
human_enhancers_cohn,small_cnn,61,1.0,0.684702908450907,0.7297,0.665,0.0829740671813488
human_enhancers_cohn,small_cnn,61,2.0,0.634547932581468,0.7350333333333334,0.6716666666666666,0.04974525794386862
human_enhancers_cohn,small_cnn,61,3.0,0.6083296293562109,0.7378444444444445,0.68,0.04297416855891547
human_enhancers_cohn,small_cnn,61,4.0,0.5971503907983954,0.7369,0.6733333333333333,0.07373126789927482
human_enhancers_cohn,small_cnn,61,5.0,0.6069530736316334,0.7408222222222223,0.6483333333333333,0.07937974989414215
human_enhancers_cohn,small_cnn,61,6.0,0.5917695543982766,0.7410444444444445,0.655,0.1372889906664689
human_enhancers_cohn,small_cnn_rc_aug,11,1.0,0.6542735002761664,0.746475,0.6808333333333333,0.04085196395715078
human_enhancers_cohn,small_cnn_rc_aug,11,2.0,0.6054749170015025,0.7495916666666667,0.6766666666666666,0.041107909505565955
human_enhancers_cohn,small_cnn_rc_aug,11,3.0,0.6006341493406961,0.7522750000000001,0.6783333333333333,0.03228131659328939
human_enhancers_cohn,small_cnn_rc_aug,11,4.0,0.6003295404966488,0.7553138888888888,0.6625,0.09704637583345176
human_enhancers_cohn,small_cnn_rc_aug,11,5.0,0.6100286217622979,0.7555499999999999,0.655,0.0880423877822856
human_enhancers_cohn,small_cnn_rc_aug,11,6.0,0.590098709561104,0.7615833333333333,0.6758333333333333,0.07615654744207861
human_enhancers_cohn,small_cnn_rc_aug,23,1.0,0.6485991782920305,0.7392694444444445,0.6633333333333333,0.038673073525230084
human_enhancers_cohn,small_cnn_rc_aug,23,2.0,0.6077217833940373,0.7490277777777777,0.6758333333333333,0.028796028469999627
human_enhancers_cohn,small_cnn_rc_aug,23,3.0,0.6024879702301913,0.7514055555555557,0.6716666666666666,0.05228166082873939
human_enhancers_cohn,small_cnn_rc_aug,23,4.0,0.5896703656329665,0.753497222222222,0.6791666666666667,0.03911541235943634
human_enhancers_cohn,small_cnn_rc_aug,23,5.0,0.5857039759325426,0.7560555555555555,0.6825,0.03813932325070104
human_enhancers_cohn,small_cnn_rc_aug,23,6.0,0.5801115285518558,0.7614750000000001,0.67,0.09071513461569945
human_enhancers_cohn,small_cnn_rc_aug,37,1.0,0.6392076722411222,0.7360055555555556,0.6691666666666667,0.059276107276479396
human_enhancers_cohn,small_cnn_rc_aug,37,2.0,0.6152130212894705,0.7428694444444446,0.6716666666666666,0.030125225546459366
human_enhancers_cohn,small_cnn_rc_aug,37,3.0,0.5987752287886864,0.751686111111111,0.6633333333333333,0.07101511916766565
human_enhancers_cohn,small_cnn_rc_aug,37,4.0,0.5931321562722672,0.754775,0.6575,0.10635985421637693
human_enhancers_cohn,small_cnn_rc_aug,37,5.0,0.5924667355626129,0.7568111111111111,0.6716666666666666,0.07535592551653586
human_enhancers_cohn,small_cnn_rc_aug,37,6.0,0.5867829073307126,0.7570555555555556,0.6566666666666666,0.1080695325198273
human_enhancers_cohn,small_cnn_rc_aug,49,1.0,0.6495284299517787,0.7161972222222223,0.6433333333333333,0.0446173453082641
human_enhancers_cohn,small_cnn_rc_aug,49,2.0,0.6076999126478683,0.7201611111111111,0.6508333333333334,0.062140208333730684
human_enhancers_cohn,small_cnn_rc_aug,49,3.0,0.5998069241989491,0.7231972222222222,0.645,0.045634933734933526
human_enhancers_cohn,small_cnn_rc_aug,49,4.0,0.5935347447561663,0.7243444444444445,0.655,0.03247720484932264
human_enhancers_cohn,small_cnn_rc_aug,49,5.0,0.5945975669594699,0.7238333333333333,0.6541666666666667,0.04324644943078358
human_enhancers_cohn,small_cnn_rc_aug,49,6.0,0.5827367153278616,0.7267222222222223,0.6541666666666667,0.05522451062997182
human_enhancers_cohn,small_cnn_rc_aug,61,1.0,0.6498103793277297,0.7233750000000001,0.6508333333333334,0.055201657017072026
human_enhancers_cohn,small_cnn_rc_aug,61,2.0,0.6071717697520589,0.7352083333333332,0.67,0.042479842342436305
