tier,track,species,task_id,task_label,model_id,model_label,model_family,auroc,auprc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_auroc,gc_only_explainability_ratio,shortcut_score,worst_gc_bin_auroc,gc_bin_auroc_gap,matched_negative_gc_only_auroc_drop
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,foundation_model,0.7727349710937637,0.7660089018939559,0.0342800785565275,0.1945990957555004,0.0298684137850311,-0.1025229935421168,-0.0205491437594516,0.7339186999468708,0.949767678959902,0.6052631578947368,0.6555683711919089,0.0820589618603114,0.09463337656738968
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),cpg_only,CpG-only logistic regression,diagnostic_logistic_regression,0.6356744103495693,0.6314792386972754,0.0341431960186504,0.2357786255194748,0.0,0.0,0.0,0.7339186999468708,1.154551273415702,0.4122807017543859,,,
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,foundation_model,0.829724,0.8212542019876681,0.0248308120776902,0.1684215524305007,0.0591436634907785,-0.048888688524904,0.0233092158668266,0.7339186999468708,0.8845335315681729,0.543859649122807,0.7518980930990444,0.0550190538312096,0.09463337656738968
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),gc_only,GC-only logistic regression,diagnostic_logistic_regression,0.7339186999468708,0.7350114162134621,0.0111692881865568,0.2081144388447765,0.0,0.0,0.0,0.7339186999468708,1.0,0.3947368421052631,,,0.09463337656738968
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,classical,0.700194,0.7225657690232126,0.2857826502558501,0.3092504288842322,0.3707913085785532,-0.0796955816894356,0.13848789357906,0.7339186999468708,1.0481647942525512,0.7192982456140351,0.6310163939809379,0.0467966416264107,0.09463337656738968
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),nucleotide_transformer_v2,Nucleotide Transformer v2,foundation_model,0.518186,0.5115652395865046,0.1638280235701642,0.2836005777416187,0.2277691517926419,0.0170641230748194,-0.0129722851645666,0.7339186999468708,1.416322903256496,0.7105263157894738,,,
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,0.532776006249567,0.52140112242657,0.0045908297367237,0.2492082859315183,0.0,0.0,0.0,0.7339186999468708,1.3775370724992502,0.4210526315789473,,,
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,cnn,0.7535540000000001,0.7491350900292709,0.0793757087886333,0.2086222937918012,0.0188364125788211,0.0077331066131591,0.0144553780555725,0.7339186999468708,0.973943075011042,0.3245614035087719,0.5922567771779644,0.0679005752267188,0.09463337656738968
core,short_context,human,human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,cnn,0.7645774999999999,0.7558621804422925,0.0708906665369868,0.2026313437309672,0.0141832903027534,0.0030723810195922,0.0171687602996826,0.7339186999468708,0.9599009910007432,0.3157894736842105,0.6670224031917775,0.0228365468270275,0.09463337656738968
core,short_context,human,human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,foundation_model,0.717767235241454,0.6861174493278257,0.0432965822595281,0.2168543161810468,0.0461359751301055,-0.0316648146657818,-0.0094850690250444,0.6621940822250412,0.9225749654096174,0.7179487179487181,0.6169911494890621,0.064462649106368,0.0859481312374526
