model_id,model_label,mean_auroc,mean_shortcut_score,worst_gc_bin_gap,external_validation_score
caduceus_ph,Caduceus-Ph,0.6292141502272971,0.46962723885800806,0.9286201670851371,0.31117845117845117
cpg_only,CpG-only logistic regression,0.644759684715837,0.4613135402609087,1.0824378807923543,
dnabert2,DNABERT-2,0.7025353395960429,0.674544993168475,0.8664447499503003,0.8091203703703703
gc_only,GC-only logistic regression,0.689664364581607,0.4534787824261508,1.0,
kmer_logistic_regression,6-mer logistic regression,0.7009595944784119,0.7025627394048447,0.9262358658683554,0.6281228956228956
length_only,Length-only logistic regression,0.5,0.5391737891737891,1.2288237902283423,
nucleotide_transformer_v2,Nucleotide Transformer v2,0.5836945,0.6798245614035088,1.3211553596594912,
repeat_only,Repeat-only logistic regression,0.5558817812578581,0.4694294496926075,1.2454540104203575,
small_cnn,CNN,0.6468821285533443,0.5051480757958491,0.8982068736850397,0.4067255892255892
small_cnn_rc_aug,RC-aug CNN,0.6689793070273419,0.42267117348089006,0.8589844793507248,0.5716161616161616
