task_id,task_label,model_id,model_label,configuration,metric,value,before_or_after,official_AUROC,matched_negative_AUROC,ECE,Brier,RC_delta,intervention,source_file
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,ECE,0.0244592582419492,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,ECE,0.0311960167019789,after,0.8525102019596554,0.7930860928077463,0.0311960167019789,0.1548415216029473,0.0479415073299704,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,Brier,0.1538127081494769,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,Brier,0.1548415216029473,after,0.8525102019596554,0.7930860928077463,0.0311960167019789,0.1548415216029473,0.0479415073299704,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,RC_delta,0.0404262294153215,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,RC_delta,0.0479415073299704,after,0.8525102019596554,0.7930860928077463,0.0311960167019789,0.1548415216029473,0.0479415073299704,Temperature scaling,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,official_AUROC,0.8528062767459534,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,official_AUROC,0.862033842128518,after,0.862033842128518,0.8111826504225587,0.1400642196733183,0.1746415730182761,0.0479880202772168,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,matched_negative_AUROC,0.7930966698713839,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,matched_negative_AUROC,0.8111826504225587,after,0.862033842128518,0.8111826504225587,0.1400642196733183,0.1746415730182761,0.0479880202772168,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,ECE,0.0244592582419492,before,0.8528062767459534,0.7930966698713839,0.0244592582419492,0.1538127081494769,0.0404262294153215,Matched-negative retraining,results/publication/table5_mitigation_summary.csv
