task_id,task_label,model_id,model_label,folds,auroc_mean,auroc_std,ece_mean,brier_mean,rc_mean_abs_delta_mean,mono_positive_prob_drop_mean,dinuc_positive_prob_drop_mean,test_count_total
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,5,0.7646366079940583,0.03004652372291033,0.04272323892938982,0.1952824088619715,0.02753965409575162,-0.10186308813091412,-0.022772806467621982,27791.0
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,5,0.8265293442007369,0.02054253190630554,0.028110149419706697,0.16768721996477098,0.06468522870330354,-0.0065344340113568395,0.02258427709616848,27791.0
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,5,0.7244005367829487,0.017381132623461963,0.21706529316231285,0.2628097113196778,0.30545881112968337,-0.06620822363981917,0.09460106896249483,27791.0
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,5,0.7445509078597342,0.030514111310683184,0.06185807141233064,0.20517692620804845,0.04985521435737608,0.02365412712097164,0.02059066295623774,27791.0
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,5,0.7705281517831957,0.029510102941496714,0.057395660689631,0.19531759049685132,0.05687148272991176,-0.0049651622772217,0.04037370085716242,27791.0
human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,5,0.7168835186377985,0.008467604717659397,0.04588682970612736,0.21687642708884142,0.04455525361852298,-0.039694300401884694,-0.01068451667484062,154842.0
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,5,0.7704570892525814,0.0059328435963801945,0.18155501065167118,0.23200116634633267,0.2825278662246209,0.19156645547976878,0.22949170213149425,154842.0
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,5,0.8764915340297769,0.005374716094340406,0.03661442340757752,0.14570703843415517,0.10634572058916088,0.36300910115242,0.14097310304641722,154842.0
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,5,0.8862518726446966,0.0014037594485676438,0.0375645053620396,0.13887251534086528,0.08655676543712612,0.38588849902153016,0.16787078380584713,154842.0
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,5,0.8587346142502472,0.04886932485089625,0.09029722307515901,0.1553029807489795,0.0518505140437099,-0.05782923521955746,0.0019829224614568,36131.0
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,5,0.8974583879184704,0.011089371898458315,0.050381197764611585,0.12477309365694467,0.09600089411399682,-0.04198297503814054,0.0221497443835467,36131.0
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,5,0.8336194909107855,0.0034415011528621904,0.2262279785308099,0.24043136073183957,0.26857750613106085,-0.00526776587564738,0.0411592717952444,36131.0
human_nontata_promoters,Promoters,small_cnn,CNN,5,0.8694984026829647,0.020901078588344175,0.06267662118991835,0.14374312239953244,0.0933275125920772,-0.02156022787094114,0.052560007572174036,36131.0
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,5,0.8725301369159322,0.017583269592769755,0.09638882395265114,0.15881864772382553,0.06958956196904179,-0.0610079407691955,0.03776851892471308,36131.0
human_ocr_ensembl,Open chromatin,caduceus_ph,Caduceus-Ph,5,0.6257319093361412,0.007198543108770989,0.05518125602260208,0.24157000347293903,0.02051016576935474,-0.01921178702421036,-0.01868745319443364,174756.0
human_ocr_ensembl,Open chromatin,kmer_logistic_regression,6-mer logistic regression,5,0.6817647907783776,0.0018433172120600888,0.2145873923962692,0.27755837598695426,0.31387709797140145,0.21193860445557494,0.1140888830947403,174756.0
human_ocr_ensembl,Open chromatin,small_cnn,CNN,5,0.6954277517622467,0.014008238055262912,0.06099250260221713,0.22480572718378555,0.09311619549989696,0.06697854995727534,0.0173707842826843,174756.0
human_ocr_ensembl,Open chromatin,small_cnn_rc_aug,RC-aug CNN,5,0.7341758399773979,0.004388619827272228,0.04328889646099066,0.2107972441294208,0.11482584178447719,0.13917896747589106,0.04863331317901608,174756.0
