task_id,split_fold,model_id,auroc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,train_count,val_count,test_count,positive_count,negative_count,task_label,model_label
human_enhancers_cohn,C,small_cnn_rc_aug,0.7740370699060688,0.030696306106394,0.1914823175783649,0.0594324767589569,0.0090904831886291,0.0644885599613189,10000.0,2000.0,4793.0,2106.0,2687.0,Enhancers (Cohn),RC-aug CNN
human_enhancers_cohn,D,small_cnn_rc_aug,0.7647546898778124,0.0809735183061972,0.1999760671029673,0.0584390349686145,0.0098500251770019,0.0451196432113647,10000.0,2000.0,4661.0,2727.0,1934.0,Enhancers (Cohn),RC-aug CNN
human_enhancers_cohn,E,small_cnn_rc_aug,0.8150611067469109,0.0783126357101684,0.1839438226723877,0.0473767705261707,0.0062825679779052,0.0348737835884094,10000.0,2000.0,8034.0,4361.0,3673.0,Enhancers (Cohn),RC-aug CNN
human_enhancers_ensembl,A,caduceus_ph,0.709687743473159,0.0535426080763264,0.2196623244194024,0.0489995808084479,-0.0393764744832424,-0.0099525836775289,10000.0,2000.0,25962.0,13578.0,12384.0,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,B,caduceus_ph,0.7163772300375071,0.0455458290004164,0.2161496961433914,0.0435355535701454,-0.0411073672876389,-0.0105839193932527,10000.0,2000.0,27657.0,12595.0,15062.0,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,C,caduceus_ph,0.7159311212044945,0.0539209606099375,0.2184080819828853,0.0400933771354638,-0.0368920482770439,-0.0092485482789335,10000.0,2000.0,25139.0,12743.0,12396.0,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,D,caduceus_ph,0.7113009333944182,0.0307943239022702,0.2174980407758854,0.0423242173169002,-0.0375126460269157,-0.0105752681983645,10000.0,2000.0,28261.0,14529.0,13732.0,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,E,caduceus_ph,0.7311205650794139,0.0456304269416863,0.2126639921226427,0.0478235392616576,-0.0435829659345826,-0.0130622638261235,10000.0,2000.0,47823.0,23976.0,23847.0,Enhancers (Ensembl),Caduceus-Ph
human_enhancers_ensembl,A,kmer_logistic_regression,0.7615149839590796,0.1914875402886396,0.2399869481308769,0.2754046422324609,0.1807493855343065,0.2325029097629194,10000.0,2000.0,25962.0,13578.0,12384.0,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,B,kmer_logistic_regression,0.7687034493235819,0.1832003642562582,0.2317530925836669,0.2847065499644988,0.2074962280697598,0.2175492374170419,10000.0,2000.0,27657.0,12595.0,15062.0,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,C,kmer_logistic_regression,0.7707284364208892,0.1784524065710565,0.2306224870437931,0.286570305020216,0.1401255946825896,0.2406043104146407,10000.0,2000.0,25139.0,12743.0,12396.0,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,D,kmer_logistic_regression,0.774374999711797,0.1738043106786314,0.2283224147955804,0.2818734173695107,0.2855399145078628,0.2442679942207844,10000.0,2000.0,28261.0,14529.0,13732.0,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,E,kmer_logistic_regression,0.7769635768475593,0.1808304314637702,0.229320889177746,0.2840844165364181,0.1439211546043252,0.2125340588420849,10000.0,2000.0,47823.0,23976.0,23847.0,Enhancers (Ensembl),6-mer logistic regression
human_enhancers_ensembl,A,small_cnn,0.8832556193652674,0.0155243682612286,0.1386355288526479,0.096116155385971,0.3865590095520019,0.1562461256980896,10000.0,2000.0,25962.0,13578.0,12384.0,Enhancers (Ensembl),CNN
human_enhancers_ensembl,B,small_cnn,0.8706040597896039,0.0529844317533102,0.1490808488860819,0.1283820271492004,0.3460249006748199,0.1575120091438293,10000.0,2000.0,27657.0,12595.0,15062.0,Enhancers (Ensembl),CNN
human_enhancers_ensembl,C,small_cnn,0.872177518286207,0.0130138240745416,0.1450942530573228,0.1045122295618057,0.3577809333801269,0.1440860033035278,10000.0,2000.0,25139.0,12743.0,12396.0,Enhancers (Ensembl),CNN
human_enhancers_ensembl,D,small_cnn,0.880514198357807,0.0874152702484463,0.1521635185841203,0.0964691415429115,0.3759334087371826,0.1217297315597534,10000.0,2000.0,28261.0,14529.0,13732.0,Enhancers (Ensembl),CNN
human_enhancers_ensembl,E,small_cnn,0.8759062743499989,0.0141342227003609,0.1435610427906029,0.1062490493059158,0.3487472534179687,0.125291645526886,10000.0,2000.0,47823.0,23976.0,23847.0,Enhancers (Ensembl),CNN
human_enhancers_ensembl,A,small_cnn_rc_aug,0.8863034733426507,0.032629915221885,0.1380180743217681,0.0774408653378486,0.4016912877559662,0.1719794273376464,10000.0,2000.0,25962.0,13578.0,12384.0,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,B,small_cnn_rc_aug,0.8861011010253821,0.0594935315437974,0.141233087275971,0.0701952278614044,0.382845014333725,0.1716700196266174,10000.0,2000.0,27657.0,12595.0,15062.0,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,C,small_cnn_rc_aug,0.8867755081297031,0.0132648106623667,0.1359374827688907,0.0806972533464431,0.3597698807716369,0.1571508646011352,10000.0,2000.0,25139.0,12743.0,12396.0,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,D,small_cnn_rc_aug,0.8841041186708616,0.0513685350893413,0.1421861846576969,0.1011829450726509,0.3983844816684723,0.175356388092041,10000.0,2000.0,28261.0,14529.0,13732.0,Enhancers (Ensembl),RC-aug CNN
human_enhancers_ensembl,E,small_cnn_rc_aug,0.8879751620548856,0.0310657342928076,0.1369877476799997,0.1032675355672836,0.3867518305778503,0.1631972193717956,10000.0,2000.0,47823.0,23976.0,23847.0,Enhancers (Ensembl),RC-aug CNN
human_nontata_promoters,A,caduceus_ph,0.8852350644301163,0.1075657536390032,0.1476839728575201,0.0339279361917748,-0.0604885028066138,0.0019947410548711,10000.0,2000.0,5267.0,3284.0,1983.0,Promoters,Caduceus-Ph
human_nontata_promoters,B,caduceus_ph,0.92751993302238,0.1339371461613664,0.1329713716191646,0.0330432851910919,-0.0477159066771852,0.002670161540485,10000.0,2000.0,4728.0,2794.0,1934.0,Promoters,Caduceus-Ph
human_nontata_promoters,C,caduceus_ph,0.8238443808698568,0.0754919571283535,0.1629370467195632,0.0476337791221102,-0.0501960472213174,0.0002950263684293,10000.0,2000.0,4587.0,2601.0,1986.0,Promoters,Caduceus-Ph
human_nontata_promoters,D,caduceus_ph,0.8053203548756909,0.0665972632075477,0.1748196179313004,0.0785331301557012,-0.0611301760162459,0.0026284647719345,10000.0,2000.0,6287.0,3872.0,2415.0,Promoters,Caduceus-Ph
human_nontata_promoters,E,caduceus_ph,0.8517533380531921,0.0678939952395243,0.1581028946173492,0.0661144395578714,-0.069615543376425,0.0023262185715641,10000.0,2000.0,15262.0,7106.0,8156.0,Promoters,Caduceus-Ph
human_nontata_promoters,A,dnabert2,0.8913895394654809,0.0483573564280118,0.1273794984955971,0.0864829016411364,-0.0477699792101271,0.0133346919301494,10000.0,2000.0,5267.0,3284.0,1983.0,Promoters,DNABERT-2
human_nontata_promoters,B,dnabert2,0.9172458488754526,0.054800583273181,0.1119207592484237,0.0811286779507437,-0.0136494863933495,0.0412256477414979,10000.0,2000.0,4728.0,2794.0,1934.0,Promoters,DNABERT-2
human_nontata_promoters,C,dnabert2,0.8921609281115443,0.0369902724294599,0.1279830904116752,0.0882184457382667,-0.0337335654350897,0.0236695376189031,10000.0,2000.0,4587.0,2601.0,1986.0,Promoters,DNABERT-2
human_nontata_promoters,D,dnabert2,0.8932718631829305,0.0431634253209696,0.1270804287587704,0.1052443476770848,-0.0392710024106157,0.024217248028591,10000.0,2000.0,6287.0,3872.0,2415.0,Promoters,DNABERT-2
human_nontata_promoters,E,dnabert2,0.8932237599569443,0.0685943513714356,0.129501691370257,0.1189300975627525,-0.0754908417415207,0.0083015965985921,10000.0,2000.0,15262.0,7106.0,8156.0,Promoters,DNABERT-2
human_nontata_promoters,A,kmer_logistic_regression,0.8315300947210854,0.200654618451495,0.2188381280805106,0.2627355888957725,0.0069458998514132,0.0595289856151037,10000.0,2000.0,5267.0,3284.0,1983.0,Promoters,6-mer logistic regression
human_nontata_promoters,B,kmer_logistic_regression,0.8325008013182333,0.2051856314421594,0.2237877301242397,0.2877563380150617,0.0033273615090291,0.034309898025133,10000.0,2000.0,4728.0,2794.0,1934.0,Promoters,6-mer logistic regression
human_nontata_promoters,C,kmer_logistic_regression,0.829991989292212,0.2249382674325738,0.2396076691090094,0.2763820844336798,-0.0055827882412917,0.0315526440114193,10000.0,2000.0,4587.0,2601.0,1986.0,Promoters,6-mer logistic regression
human_nontata_promoters,D,kmer_logistic_regression,0.8386555062197354,0.2141810806983656,0.2307529884455849,0.2400953754931402,-0.0012820642652708,0.0447471261603278,10000.0,2000.0,6287.0,3872.0,2415.0,Promoters,6-mer logistic regression
human_nontata_promoters,E,kmer_logistic_regression,0.8354190630026612,0.2861802946294557,0.2891702878998534,0.2759181438176502,-0.0297472382321167,0.0356577051642382,10000.0,2000.0,15262.0,7106.0,8156.0,Promoters,6-mer logistic regression
human_nontata_promoters,A,small_cnn,0.8800741135215716,0.0700520596802743,0.139142223513367,0.0418413840234279,-0.0239786505699157,0.051043689250946,10000.0,2000.0,5267.0,3284.0,1983.0,Promoters,CNN
human_nontata_promoters,B,small_cnn,0.8976806371164683,0.0590049522864283,0.1199929191929609,0.0874212980270385,-0.002636969089508,0.067044198513031,10000.0,2000.0,4728.0,2794.0,1934.0,Promoters,CNN
human_nontata_promoters,C,small_cnn,0.8633365120627166,0.0331075076043852,0.145441815857911,0.1173530146479606,0.0043122172355651,0.0632497668266296,10000.0,2000.0,4587.0,2601.0,1986.0,Promoters,CNN
human_nontata_promoters,D,small_cnn,0.8415359837790668,0.0559962974105481,0.1576516920590568,0.0907226279377937,-0.0422249436378479,0.0345056056976318,10000.0,2000.0,6287.0,3872.0,2415.0,Promoters,CNN
human_nontata_promoters,E,small_cnn,0.864864766935001,0.0952222889679558,0.1564869613743665,0.1292992383241653,-0.0432727932929992,0.0469567775726318,10000.0,2000.0,15262.0,7106.0,8156.0,Promoters,CNN
human_nontata_promoters,A,small_cnn_rc_aug,0.855599637110322,0.0691070723787122,0.146021384649288,0.0415875613689422,-0.0396327376365661,0.0398013591766357,10000.0,2000.0,5267.0,3284.0,1983.0,Promoters,RC-aug CNN
human_nontata_promoters,B,small_cnn_rc_aug,0.9021901341254972,0.0166166821627069,0.115746056041394,0.0566011555492877,-0.0967171192169189,0.0230630040168762,10000.0,2000.0,4728.0,2794.0,1934.0,Promoters,RC-aug CNN
human_nontata_promoters,C,small_cnn_rc_aug,0.8658831737580208,0.0830997419735432,0.1527635665333876,0.0888344123959541,-0.0256849527359008,0.0552241206169128,10000.0,2000.0,4587.0,2601.0,1986.0,Promoters,RC-aug CNN
human_nontata_promoters,D,small_cnn_rc_aug,0.8675334300087265,0.0859708874298996,0.151851716247044,0.0825926810503006,-0.071371853351593,0.0443050265312194,10000.0,2000.0,6287.0,3872.0,2415.0,Promoters,RC-aug CNN
human_nontata_promoters,E,small_cnn_rc_aug,0.8714443095770941,0.2271497358183938,0.227710515148014,0.0783319994807243,-0.0716330409049987,0.0264490842819213,10000.0,2000.0,15262.0,7106.0,8156.0,Promoters,RC-aug CNN
human_ocr_ensembl,A,caduceus_ph,0.6258666206255361,0.0574165799609806,0.2415394640179186,0.0172397771087768,-0.0225855000917081,-0.0196472824434887,10000.0,2000.0,28818.0,14807.0,14011.0,Open chromatin,Caduceus-Ph
human_ocr_ensembl,B,caduceus_ph,0.6374193833039198,0.0605704299456471,0.2407462392391402,0.0152092509449202,-0.0171873764584883,-0.0191185417891479,10000.0,2000.0,35245.0,18184.0,17061.0,Open chromatin,Caduceus-Ph
human_ocr_ensembl,C,caduceus_ph,0.6255377863401292,0.0520355501266208,0.2414156314536887,0.0237046844395225,-0.0174592029031163,-0.0178770616637419,10000.0,2000.0,28857.0,14678.0,14179.0,Open chromatin,Caduceus-Ph
human_ocr_ensembl,D,caduceus_ph,0.6211461487303305,0.0554720949917405,0.2418166085686578,0.0213828292861202,-0.0178956021248554,-0.0175200762697556,10000.0,2000.0,31195.0,15844.0,15351.0,Open chromatin,Caduceus-Ph
human_ocr_ensembl,E,caduceus_ph,0.6186896076807903,0.0504116250880214,0.2423320740852899,0.025014287067434,-0.0209312535428837,-0.0192743038060341,10000.0,2000.0,50641.0,23865.0,26776.0,Open chromatin,Caduceus-Ph
human_ocr_ensembl,A,kmer_logistic_regression,0.6794321900027445,0.2129944721146506,0.2773406152460821,0.3110413361168502,0.2157182884389789,0.1206521457088134,10000.0,2000.0,28818.0,14807.0,14011.0,Open chromatin,6-mer logistic regression
human_ocr_ensembl,B,kmer_logistic_regression,0.6840764279144014,0.2192093160997403,0.2792461383904824,0.3036380320634533,0.1929666379400885,0.0967351385026609,10000.0,2000.0,35245.0,18184.0,17061.0,Open chromatin,6-mer logistic regression
human_ocr_ensembl,C,kmer_logistic_regression,0.6807590059785018,0.2161243750916804,0.2786141206298433,0.3110411812118261,0.1958782045559622,0.1260630854893335,10000.0,2000.0,28857.0,14678.0,14179.0,Open chromatin,6-mer logistic regression
human_ocr_ensembl,D,kmer_logistic_regression,0.6830743658230776,0.2126626885237404,0.2762456495557856,0.3226118687590286,0.2586277511374306,0.1110981957486871,10000.0,2000.0,31195.0,15844.0,15351.0,Open chromatin,6-mer logistic regression
human_ocr_ensembl,E,kmer_logistic_regression,0.6814819641731629,0.2119461101515343,0.2763453561125779,0.321053071705849,0.1965021402054144,0.1158958500242066,10000.0,2000.0,50641.0,23865.0,26776.0,Open chromatin,6-mer logistic regression
human_ocr_ensembl,A,small_cnn,0.6765921677849651,0.0703452029191456,0.2304296402241826,0.1306628733873367,0.0566720962524414,0.0289071798324584,10000.0,2000.0,28818.0,14807.0,14011.0,Open chromatin,CNN
human_ocr_ensembl,B,small_cnn,0.7121170282261164,0.0352179582898355,0.2164581834141108,0.1049965843558311,0.0938897728919982,0.0225260257720947,10000.0,2000.0,35245.0,18184.0,17061.0,Open chromatin,CNN
human_ocr_ensembl,C,small_cnn,0.6876845773724792,0.0580860858759695,0.2262514258518623,0.0703940168023109,0.0758134722709655,0.0216875672340393,10000.0,2000.0,28857.0,14678.0,14179.0,Open chromatin,CNN
human_ocr_ensembl,D,small_cnn,0.7049960241137488,0.1038899977250365,0.2291302930298747,0.0909374877810478,0.0742664337158203,0.0143207311630249,10000.0,2000.0,31195.0,15844.0,15351.0,Open chromatin,CNN
human_ocr_ensembl,E,small_cnn,0.695748961313924,0.0374232682010985,0.2217590933988974,0.0685900151729583,0.0342509746551513,-0.0005875825881958,10000.0,2000.0,50641.0,23865.0,26776.0,Open chromatin,CNN
human_ocr_ensembl,A,small_cnn_rc_aug,0.7290613280305375,0.0288029419388411,0.2110479177643928,0.0960356965661048,0.1207676231861114,0.0372013449668884,10000.0,2000.0,28818.0,14807.0,14011.0,Open chromatin,RC-aug CNN
human_ocr_ensembl,B,small_cnn_rc_aug,0.7307018370561489,0.0411775077694882,0.2109659397423292,0.1272318065166473,0.1350606679916381,0.043142020702362,10000.0,2000.0,35245.0,18184.0,17061.0,Open chromatin,RC-aug CNN
human_ocr_ensembl,C,small_cnn_rc_aug,0.7392209812751587,0.0844275254162246,0.2144946553146447,0.120362289249897,0.1686710119247436,0.0673752427101135,10000.0,2000.0,28857.0,14678.0,14179.0,Open chromatin,RC-aug CNN
human_ocr_ensembl,D,small_cnn_rc_aug,0.7340657977228338,0.0432522902911549,0.2104188439483975,0.1022759974002838,0.133098691701889,0.0491567850112915,10000.0,2000.0,31195.0,15844.0,15351.0,Open chromatin,RC-aug CNN
human_ocr_ensembl,E,small_cnn_rc_aug,0.7378292558023105,0.0187842168892445,0.2070588638773399,0.1282234191894531,0.1382968425750732,0.046291172504425,10000.0,2000.0,50641.0,23865.0,26776.0,Open chromatin,RC-aug CNN
