dataset,model,kmer_size,test_auroc,test_accuracy,reverse_complement_mean_abs_delta,reverse_complement_prediction_flip_rate,positive_original_mean_prob,positive_gc_shuffle_mean_prob,positive_gc_shuffle_prob_drop,negative_original_mean_prob,negative_gc_shuffle_mean_prob
human_nontata_promoters,kmer_logistic_regression,6.0,0.9363923282350084,0.8834403365065309,0.2582111396805872,0.2721939340270091,0.8592735396948087,0.8736739071370141,-0.0144003674422054,0.1474689351665339,0.7613166394025298
human_enhancers_cohn,kmer_logistic_regression,6.0,0.76934371259946,0.697754749568221,0.1983508118195624,0.2464018422567645,0.6584835898800343,0.7692076843975172,-0.1107240945174828,0.3400903960894019,0.61344032688765
human_nontata_promoters,small_sequence_cnn,,0.9169663102556522,0.8480185964135488,0.1209156066179275,0.1327208324108922,0.8140465021133423,0.838523268699646,-0.0244767665863037,0.2466399371623993,0.6493812799453735
human_enhancers_cohn,small_sequence_cnn,,0.7571924211073361,0.6800518134715026,0.0489881187677383,0.0899539435808865,0.6483204364776611,0.6383944749832153,0.0099259614944458,0.4327596127986908,0.4505282938480377
