gc_bin,count,positive_count,negative_count,gc_mean,gc_min,gc_max,auroc,ece,brier,task_id,model_id,split_id,seed,calibration_method,intervention_id
0,67,26,41,0.5373932476654162,0.5347593582887701,0.5401069518716578,0.6369606003752345,0.08280766321651972,0.24427257894528717,mpra_hbb_promoter,small_cnn_rc_aug,official,2026,temperature,standard
1,22,9,13,0.5454545454545453,0.5454545454545454,0.5454545454545454,0.547008547008547,0.061762384392998415,0.24549673613821898,mpra_hbb_promoter,small_cnn_rc_aug,official,2026,temperature,standard
