task_id,task_label,model_id,model_label,original_auroc,matched_auroc,original_gc_only_auroc,matched_gc_only_auroc,original_ece,matched_ece,original_mono_drop,matched_mono_drop,original_dinuc_drop,matched_dinuc_drop
human_nontata_promoters,Promoters,gc_only,GC-only logistic regression,0.7959149681512145,0.711853645370015,0.7959149681512145,0.711853645370015,0.0468308784576099,0.1219092582164688,0.0,0.0,0.0,0.0
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,0.915893668944032,0.9114448318820636,0.7959149681512145,0.711853645370015,0.0951845669593212,0.1132410287033531,-0.0129744038757426,-0.0075775025331438,0.0493131205192509,0.0578999551199419
human_nontata_promoters,Promoters,small_cnn,CNN,0.8914828115842595,0.8731631457185094,0.7959149681512145,0.711853645370015,0.024325025384804,0.1283946448606528,-0.0340018272399902,-0.0590898990631103,0.0491634607315063,0.0417549014091491
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,0.9014160366927252,0.8740163954464744,0.7959149681512145,0.711853645370015,0.061482461035344,0.0871857975770044,-0.0656256675720214,-0.0680538415908813,0.0284047722816467,0.0305289030075073
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,0.9125409999999998,0.8969018682985945,0.7959149681512145,0.711853645370015,0.0392262811798141,0.0800153009605318,-0.0365259862505489,-0.0386095512852275,0.0177622250859168,0.0214562803830032
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,0.8528062767459534,0.7930966698713839,0.7959149681512145,0.711853645370015,0.0244592582419492,0.1034601828821221,-0.0604816577373737,-0.0613841856528585,0.0015758352155724,0.0017935210177151
human_enhancers_cohn,Enhancers (Cohn),gc_only,GC-only logistic regression,0.7339186999468708,0.6392853233794811,0.7339186999468708,0.6392853233794811,0.0111692881865568,0.0687737820620118,0.0,0.0,0.0,0.0
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,0.7198406022334183,0.6843793945812884,0.7339186999468708,0.6392853233794811,0.2230066818417645,0.2490119017790831,-0.0989740670455717,-0.1047314240068123,0.091787624018841,0.0906788775459468
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,0.7500055101321802,0.6727535557712438,0.7339186999468708,0.6392853233794811,0.0371965014267976,0.0735889895597068,0.0250227451324462,-0.0064048767089843,0.0054828524589538,0.0148357152938842
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,0.7556242706325035,0.6960452054698972,0.7339186999468708,0.6392853233794811,0.0348070410043258,0.0805212842399963,-0.0198650956153869,0.0156245827674865,0.0038124918937683,0.013296902179718
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,0.832364,0.7831267930428194,0.7339186999468708,0.6392853233794811,0.0177455895021824,0.059579344910046,-0.0773962200148066,-0.0408819016889659,0.010910567835066,0.0280310177057119
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,0.7727349710937637,0.6933720391822946,0.7339186999468708,0.6392853233794811,0.0342800785565275,0.0734663712760024,-0.1025229935421168,-0.1024097724562637,-0.0205491437594516,-0.020609886437731
human_enhancers_ensembl,Enhancers (Ensembl),gc_only,GC-only logistic regression,0.6621940822250412,0.5762459509875886,0.6621940822250412,0.5762459509875886,0.0479150442144485,0.1082923933034039,0.0,0.0,0.0,0.0
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,0.77841407034149,0.7593236576453896,0.6621940822250412,0.5762459509875886,0.1749851512872763,0.1962377893145113,0.2017212876810611,0.2089985176153785,0.2559971038650067,0.2530326547895289
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,0.8813083374924372,0.8639492309933446,0.6621940822250412,0.5762459509875886,0.0527439798164991,0.0658570079464245,0.3898816108703613,0.3755265176296234,0.1748238801956176,0.1556836366653442
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,0.8873414740211788,0.8699805307143664,0.6621940822250412,0.5762459509875886,0.0341607557387747,0.0943775647410921,0.365414559841156,0.3657114505767822,0.172886312007904,0.1686581373214721
human_enhancers_ensembl,Enhancers (Ensembl),dnabert2,DNABERT-2,0.775216,0.7737994844343186,0.6621940822250412,0.5762459509875886,0.0271078423685805,0.0758359340748385,0.0428744396754445,0.0915853242569819,0.0094690798395876,0.0344420638140309
human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,0.717767235241454,0.651955332291049,0.6621940822250412,0.5762459509875886,0.0432965822595281,0.1030044723596689,-0.0316648146657818,-0.0319772709983091,-0.0094850690250444,-0.0098021732581925
