task_id,task_label,model_id,model_label,seed,overall_auroc,overall_ece,overall_brier,n_bins,worst_bin_auroc,best_bin_auroc,gc_bin_auroc_gap,worst_bin_ece,best_bin_ece,gc_bin_ece_gap,runtime_seconds,device
human_nontata_promoters,Promoters,kmer_logistic_regression,6-mer logistic regression,2026,0.9159055731855232,0.095382774541566,0.1210702178708603,5,0.7669729952855808,0.9854553391604576,0.2184823438748768,0.1423681146175582,0.0172994090561328,0.1250687055614253,2.317776208990836,cuda
human_nontata_promoters,Promoters,small_cnn,CNN,2026,0.9012108490613802,0.0874355371207665,0.1337272925155843,5,0.6644118769843856,0.9712033573760084,0.3067914803916226,0.1387076800383631,0.0091717757563985,0.1295359042819645,4.047239529987564,cuda
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,2026,0.901722212795973,0.0603596098095884,0.123560190631057,5,0.6518964752035208,0.9866310160427808,0.33473454083926,0.1062388044860664,0.0261845286408148,0.0800542758452516,4.2903268829977605,cuda
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,2026,0.9133644374863084,0.0196173102364044,0.1133387306934582,5,0.7178393745557925,0.9800333356483087,0.2621939610925163,0.0379170548352756,0.0279027290952021,0.0100143257400734,1.0589682949939745,cuda
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,2026,0.8525102019596554,0.023503289751203,0.1537876382207589,5,0.6643684261164545,0.8725754764715805,0.208207050355126,0.1035116779310051,0.0382853455624175,0.0652263323685875,0.351728446999914,cuda
human_enhancers_cohn,Enhancers (Cohn),kmer_logistic_regression,6-mer logistic regression,2026,0.7198442480351613,0.2230087217521112,0.270705046380374,5,0.6310163939809379,0.6778130356073486,0.0467966416264107,0.2750858169022459,0.1898915284176187,0.0851942884846272,12.799133272012114,cuda
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,2026,0.74543135469044,0.0979552620707673,0.2151183707167762,5,0.5922567771779644,0.6601573524046833,0.0679005752267188,0.1319496015290434,0.0457288346552898,0.0862207668737535,4.17426903899468,cuda
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,2026,0.7721113732774,0.0569721851015338,0.1979894893026025,5,0.6670224031917775,0.689858950018805,0.0228365468270275,0.0870193838204308,0.0336138609549496,0.0534055228654812,7.174591356000747,cuda
human_enhancers_cohn,Enhancers (Cohn),dnabert2,DNABERT-2,2026,0.8332256164636452,0.0160467906908993,0.1668050505243243,5,0.7518980930990444,0.8069171469302541,0.0550190538312096,0.0386097790380021,0.0178500801126913,0.0207596989253108,1.203671466006199,cuda
human_enhancers_cohn,Enhancers (Cohn),caduceus_ph,Caduceus-Ph,2026,0.7740950208622719,0.0355594301292682,0.1942713017576454,5,0.6555683711919089,0.7376273330522204,0.0820589618603114,0.0735804095328093,0.0279722521036417,0.0456081574291676,0.3977279620012268,cuda
human_enhancers_ensembl,Enhancers (Ensembl),kmer_logistic_regression,6-mer logistic regression,2026,0.7784144873813639,0.175014146681954,0.2264103191894256,5,0.731078644688173,0.7843626468751179,0.0532840021869449,0.1931929243692583,0.1478563055874819,0.0453366187817764,2.387726939006825,cuda
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn,CNN,2026,0.8781099627802338,0.0217468554728409,0.1424250104366578,5,0.8347663557195247,0.906283339027386,0.0715169833078612,0.048441517188452,0.0223464528172413,0.0260950643712106,4.0623881759966025,cuda
human_enhancers_ensembl,Enhancers (Ensembl),small_cnn_rc_aug,RC-aug CNN,2026,0.8875353996477473,0.0121733108564879,0.1357882626548454,5,0.8464727693559946,0.9086102590409678,0.0621374896849732,0.0407887677483211,0.0175824243288588,0.0232063434194622,7.111167192997527,cuda
human_enhancers_ensembl,Enhancers (Ensembl),dnabert2,DNABERT-2,2026,0.8066575286279627,0.0205118821786797,0.1792876044615061,5,0.7606148084463563,0.7879264513546256,0.0273116429082692,0.0501796611336563,0.0306099034126163,0.01956975772104,53.79923610799597,cuda
human_enhancers_ensembl,Enhancers (Ensembl),caduceus_ph,Caduceus-Ph,2026,0.7199467273265066,0.0435699726107889,0.2161734046088559,5,0.6169911494890621,0.6814537985954301,0.064462649106368,0.0740265975086075,0.0425296291766566,0.0314969683319509,22.88141982900561,cuda
human_ocr_ensembl,Open chromatin,kmer_logistic_regression,6-mer logistic regression,2026,0.6855654108062059,0.2192287843489314,0.278308431786738,5,0.669683995244412,0.6846374103240239,0.0149534150796118,0.2423412639873944,0.1895467226030248,0.0527945413843696,5.481474708998576,cuda
human_ocr_ensembl,Open chromatin,small_cnn,CNN,2026,0.696951098707204,0.0416161383430348,0.2222310855431943,5,0.6634095979509551,0.697700880924679,0.0342912829737238,0.0798901604045411,0.017992439953469,0.061897720451072,4.35546637600055,cuda
human_ocr_ensembl,Open chromatin,small_cnn_rc_aug,RC-aug CNN,2026,0.7371359137215996,0.02917699928168,0.2081684251911679,5,0.7074079211080992,0.7593285476197964,0.0519206265116971,0.0714033267923093,0.0157298327374488,0.0556734940548604,7.724428275992977,cuda
human_ocr_ensembl,Open chromatin,dnabert2,DNABERT-2,2026,0.7176536250663434,0.011076035638774,0.2139654596940242,5,0.6901651052835788,0.7106620516933708,0.020496946409792,0.0483610700795218,0.0245925332269179,0.0237685368526038,58.890720125011285,cuda
human_ocr_ensembl,Open chromatin,caduceus_ph,Caduceus-Ph,2026,0.6248553488206643,0.0568142012967006,0.2413789504041508,5,0.557653982129942,0.6341387697874348,0.0764847876574927,0.0956511339496171,0.0347444385253994,0.0609066954242176,19.989620512002148,cuda
