task_id,task_label,model_id,model_label,intervention,auroc_before,auroc_after,ece_before,ece_after,brier_before,brier_after,matched_auroc_before,matched_auroc_after,matched_ece_before,matched_ece_after,matched_brier_before,matched_brier_after,rc_before,rc_after,mono_before,mono_after,dinuc_before,dinuc_after
human_nontata_promoters,Promoters,small_cnn,CNN,Temperature scaling,0.8914828115842595,0.8750859999999999,0.024325025384804,0.0390368657708168,0.1291793261704815,0.1354815835285256,0.8731631457185094,,0.1283946448606528,,0.1575190505892078,,0.0814330503344535,0.0652493014931678,-0.0340018272399902,0.0001285672187805,0.0491634607315063,0.0437431931495666
human_nontata_promoters,Promoters,small_cnn,CNN,GC-balanced training,0.8914828115842595,0.8737899999999998,0.024325025384804,0.1316369264051318,0.1291793261704815,0.1632939022922205,0.8731631457185094,,0.1283946448606528,,0.1575190505892078,,0.0814330503344535,0.0636902824044227,-0.0340018272399902,0.0282326936721801,0.0491634607315063,0.0576817989349365
human_nontata_promoters,Promoters,small_cnn,CNN,Matched-negative retraining,0.8914828115842595,0.871173212394143,0.024325025384804,0.0674970918309247,0.1291793261704815,0.1415293764728329,0.8731631457185094,0.8536837867085225,0.1283946448606528,0.0123300584510444,0.1575190505892078,0.1397256824417315,0.0814330503344535,0.0920092985033989,-0.0340018272399902,-0.0373681783676147,0.0491634607315063,0.0524963736534118
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,Temperature scaling,0.9014160366927252,0.8974350000000001,0.061482461035344,0.0300379513092338,0.1244126061041274,0.1190559284519117,0.8740163954464744,,0.0871857975770044,,0.1464505511844472,,0.0500921346247196,0.0625854432582855,-0.0656256675720214,-0.0329140424728393,0.0284047722816467,0.0416962504386901
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,GC-balanced training,0.9014160366927252,0.901146,0.061482461035344,0.0404632883146405,0.1244126061041274,0.1172323904976208,0.8740163954464744,,0.0871857975770044,,0.1464505511844472,,0.0500921346247196,0.0564939603209495,-0.0656256675720214,-0.0520316958427429,0.0284047722816467,0.0385830998420715
human_nontata_promoters,Promoters,small_cnn_rc_aug,RC-aug CNN,Matched-negative retraining,0.9014160366927252,0.8815732961683902,0.061482461035344,0.0776776233793149,0.1244126061041274,0.1385792647318938,0.8740163954464744,0.8930879388047019,0.0871857975770044,0.0486678545407978,0.1464505511844472,0.1244085915758838,0.0500921346247196,0.046235479414463,-0.0656256675720214,-0.0618482232093811,0.0284047722816467,0.0451120734214782
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Temperature scaling,0.9125409999999998,0.9133644374863084,0.0392262811798141,0.0203414589323098,0.1105972206908814,0.1133926146655528,0.8969018682985945,0.8969017685149753,0.0800153009605318,0.0810590060287574,0.1273694035889256,0.1297000707309049,0.0818091300277182,0.0896644314733192,-0.0365259862505489,-0.0491874475515585,0.0177622250859168,0.0205672666512506
human_nontata_promoters,Promoters,dnabert2,DNABERT-2,Matched-negative retraining,0.9125409999999998,0.9076700114621544,0.0392262811798141,0.1122251483804573,0.1105972206908814,0.1371817169816064,0.8969018682985945,0.910408878347304,0.0800153009605318,0.0273012205049046,0.1273694035889256,0.111240349002605,0.0818091300277182,0.0982339677964212,-0.0365259862505489,-0.0491709943707058,0.0177622250859168,0.0125029636229913
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Temperature scaling,0.8528062767459534,0.8525102019596554,0.0244592582419492,0.0311960167019789,0.1538127081494769,0.1548415216029473,0.7930966698713839,0.7930860928077463,0.1034601828821221,0.0983859164567534,0.1782318953243604,0.1840378787846434,0.0404262294153215,0.0479415073299704,-0.0604816577373737,-0.0675967982995252,0.0015758352155724,0.0021504159231521
human_nontata_promoters,Promoters,caduceus_ph,Caduceus-Ph,Matched-negative retraining,0.8528062767459534,0.862033842128518,0.0244592582419492,0.1400642196733183,0.1538127081494769,0.1746415730182761,0.7930966698713839,0.8111826504225587,0.1034601828821221,0.0456140926467831,0.1782318953243604,0.1568831798165981,0.0404262294153215,0.0479880202772168,-0.0604816577373737,-0.0489025315025096,0.0015758352155724,-0.0004757171819097
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,Temperature scaling,0.7500055101321802,0.7609539999999999,0.0371965014267976,0.0401109736561775,0.2040775067168555,0.2002463834028573,0.6727535557712438,,0.0735889895597068,,0.2229237478693353,,0.0458406992256641,0.0283500477671623,0.0250227451324462,0.0204386115074157,0.0054828524589538,0.0042489171028137
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,GC-balanced training,0.7500055101321802,0.7523539999999999,0.0371965014267976,0.1202878156006336,0.2040775067168555,0.2186517150833546,0.6727535557712438,,0.0735889895597068,,0.2229237478693353,,0.0458406992256641,0.0330276787281036,0.0250227451324462,0.0012133717536926,0.0054828524589538,-0.0016725361347198
human_enhancers_cohn,Enhancers (Cohn),small_cnn,CNN,Matched-negative retraining,0.7500055101321802,0.7392847400990796,0.0371965014267976,0.1092542138553311,0.2040775067168555,0.2283230419672412,0.6727535557712438,0.6718215893220361,0.0735889895597068,0.0594914110211715,0.2229237478693353,0.2212250146121552,0.0458406992256641,0.0275904815644025,0.0250227451324462,-0.0125150084495544,0.0054828524589538,0.0204517245292663
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,Temperature scaling,0.7556242706325035,0.7646739999999999,0.0348070410043258,0.0204600488692521,0.2021991418807238,0.1977643604671946,0.6960452054698972,,0.0805212842399963,,0.2170083911056838,,0.0361816361546516,0.0647559240460395,-0.0198650956153869,0.0199081897735595,0.0038124918937683,0.0220335721969604
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,GC-balanced training,0.7556242706325035,0.766951,0.0348070410043258,0.0617251340337097,0.2021991418807238,0.2005870326856444,0.6960452054698972,,0.0805212842399963,,0.2170083911056838,,0.0361816361546516,0.0409744903445243,-0.0198650956153869,0.0128912925720214,0.0038124918937683,0.0121446847915649
human_enhancers_cohn,Enhancers (Cohn),small_cnn_rc_aug,RC-aug CNN,Matched-negative retraining,0.7556242706325035,0.7567951530060132,0.0348070410043258,0.1018145108315611,0.2021991418807238,0.2177045449336939,0.6960452054698972,0.6830557554159484,0.0805212842399963,0.018762021768984,0.2170083911056838,0.2134077445012972,0.0361816361546516,0.0440991818904876,-0.0198650956153869,-0.007818579673767,0.0038124918937683,0.0162040591239929
