task,split_name,split_fold,model,mode,calibration_method,intervention_id,seed,accuracy__k1_shuffle,accuracy__k2_shuffle,accuracy__k3_shuffle,accuracy__matched_negative_replacement,accuracy__motif_disruption,accuracy__motif_preserving_flank_shuffle,accuracy__original,accuracy__reverse_complement,auprc__k1_shuffle,auprc__k2_shuffle,auprc__k3_shuffle,auprc__matched_negative_replacement,auprc__motif_disruption,auprc__motif_preserving_flank_shuffle,auprc__original,auprc__reverse_complement,auroc__k1_shuffle,auroc__k2_shuffle,auroc__k3_shuffle,auroc__matched_negative_replacement,auroc__motif_disruption,auroc__motif_preserving_flank_shuffle,auroc__original,auroc__reverse_complement,brier__k1_shuffle,brier__k2_shuffle,brier__k3_shuffle,brier__matched_negative_replacement,brier__motif_disruption,brier__motif_preserving_flank_shuffle,brier__original,brier__reverse_complement,calibration_shift__k1_shuffle,calibration_shift__k2_shuffle,calibration_shift__k3_shuffle,calibration_shift__matched_negative_replacement,calibration_shift__motif_disruption,calibration_shift__motif_preserving_flank_shuffle,calibration_shift__reverse_complement,ece__k1_shuffle,ece__k2_shuffle,ece__k3_shuffle,ece__matched_negative_replacement,ece__motif_disruption,ece__motif_preserving_flank_shuffle,ece__original,ece__reverse_complement,flip_rate__k1_shuffle,flip_rate__k2_shuffle,flip_rate__k3_shuffle,flip_rate__matched_negative_replacement,flip_rate__motif_disruption,flip_rate__motif_preserving_flank_shuffle,flip_rate__reverse_complement,mcc__k1_shuffle,mcc__k2_shuffle,mcc__k3_shuffle,mcc__matched_negative_replacement,mcc__motif_disruption,mcc__motif_preserving_flank_shuffle,mcc__original,mcc__reverse_complement,mean_abs_delta__k1_shuffle,mean_abs_delta__k2_shuffle,mean_abs_delta__k3_shuffle,mean_abs_delta__matched_negative_replacement,mean_abs_delta__motif_disruption,mean_abs_delta__motif_preserving_flank_shuffle,mean_abs_delta__reverse_complement,positive_prob_drop__k1_shuffle,positive_prob_drop__k2_shuffle,positive_prob_drop__k3_shuffle,positive_prob_drop__matched_negative_replacement,positive_prob_drop__motif_disruption,positive_prob_drop__motif_preserving_flank_shuffle,positive_prob_drop__reverse_complement
dummy_mouse_enhancers_ensembl,official,na,small_cnn,full,none,standard,7,0.703125,0.5859375,0.578125,0.5859375,0.5859375,0.703125,0.5859375,0.5859375,0.8077704905838644,0.8622072701566919,0.8945989943677031,0.8927860010306833,0.8944743022794428,0.8049261409192432,0.8958416232573978,0.8445642597613942,0.80859375,0.8662109375,0.89404296875,0.8846435546875,0.88525390625,0.773681640625,0.8876953125,0.853271484375,0.2443826238447158,0.2466877408603709,0.2463719873568578,0.2464275272882826,0.2464238249575936,0.2457885203704524,0.246410955135292,0.2467208062979538,0.1167515711858868,0.0007099260110408,-0.007625060621649,1.6835052520036697e-05,-1.3092532753944395e-05,0.118759209755808,-0.00011628982611,0.1944181905128061,0.0783765453379601,0.0700415587052702,0.0776834543794394,0.0776535267941654,0.1964258290827274,0.0776666193269193,0.0775503295008093,0.4609375,0.015625,0.0078125,0.0,0.0,0.3515625,0.03125,0.4080471333733239,0.3066220703359332,0.291111254869791,0.3066220703359332,0.3066220703359332,0.4094615124266628,0.3066220703359332,0.3066220703359332,0.0090328771620988,0.001528026536107,0.0012751771137118,1.683225855231285e-05,6.982125341892242e-05,0.007028367370367,0.0016140919178724,0.0068823099136352,0.00102299451828,0.0001642107963562,3.36766242980957e-05,1.1444091796875e-05,0.0063210129737854,0.0002369880676269
human_nontata_promoters,official,na,gc_only,frozen,none,standard,7,0.7109375,0.7109375,0.7109375,0.7109375,0.7109375,0.7109375,0.7109375,0.7109375,0.8294573845668423,0.8294573845668423,0.8294573845668423,0.8294573845668423,0.8294573845668423,0.8294573845668423,0.8294573845668423,0.8294573845668423,0.7830810546875,0.7830810546875,0.7830810546875,0.7830810546875,0.7830810546875,0.7830810546875,0.7830810546875,0.7830810546875,0.2071023503107876,0.2071023503107876,0.2071023503107876,0.2071023503107876,0.2071023503107876,0.2071023503107876,0.2071023503107876,0.2071023503107876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1623311362091521,0.1623311362091521,0.1623311362091521,0.1623311362091521,0.1623311362091521,0.1623311362091521,0.1623311362091521,0.1623311362091521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4231683839898111,0.4231683839898111,0.4231683839898111,0.4231683839898111,0.4231683839898111,0.4231683839898111,0.4231683839898111,0.4231683839898111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human_nontata_promoters,official,na,kmer_logistic_regression,frozen,none,standard,7,0.6484375,0.7265625,0.78125,0.7109375,0.78125,0.703125,0.7734375,0.7734375,0.8101397251917206,0.851354099361054,0.8696373703720879,0.8140430835592255,0.8745856607235507,0.8493200564559351,0.8782125360637122,0.8665239020741662,0.755615234375,0.801513671875,0.826904296875,0.7587890625,0.834716796875,0.8046875,0.841064453125,0.8134765625,0.2354118404136273,0.1799872499631735,0.1652381293082636,0.2214160985254069,0.1701925755320225,0.2209908335106056,0.1685703168521614,0.172235381141147,0.0643299556302436,0.0142206176707613,0.0039678274073767,0.0483362539371175,-0.002730234527274,0.05967458588877,-0.0167523891152113,0.1893392238775458,0.1392298859180635,0.1289770956546789,0.1733455221844198,0.1222790337200281,0.1846838541360722,0.1250092682473022,0.1082568791320909,0.265625,0.140625,0.1015625,0.0625,0.0078125,0.3515625,0.109375,0.3013596025728948,0.4627725041842686,0.5861606481232525,0.4417926243064343,0.5726562866782,0.4195731958391368,0.5551361100027009,0.562543950463012,0.2217430297462885,0.1671284041407433,0.1258581445384841,0.0554540181103142,0.0052688290242962,0.2681148706530827,0.131950369476179,-0.0234517075513532,0.0376157826820753,0.0245898394478349,0.1101791759529164,0.0054776902923396,-0.101582449633881,0.0408444049657581
